project,pullNumber,CCR,Author_response,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
beam,7921,"Is it safe to combine the cloud.google.com API with the V2 API?

Be warned: It's not currently simple to add new Go dependencies, due to gradle and jenkins etc, the lock file will need updating if the v2 package isn't already getting vendored.
There's a low priority task to move to Go Modules instead which would make it easier for everyone involved, but that's a hairy mess WRT beam right now. I can provide more details if necessary.","Internally the cloud api includes v2 api, so I would assume it would be safe, but honestly, this is beyond my depth of the overall build system.",1,1,1,0,1,0,1,1,0,0,0,1,0
beam,15827,Not sure how to handle the `skipna=False` case when there are NaNs in the DataFrame or Series. The expected type is different from the proxy's type. I don't know how it can be inferred. @TheNeuralBit Do you have any examples of how this can be done?,Not sure how to handle the `skipna=False` case when there are NaNs in the DataFrame or Series. The expected type is different from the proxy's type. I don't know how it can be inferred. @TheNeuralBit Do you have any examples of how this can be done?,1,1,0,0,0,0,0,1,1,1,1,1,0
beam,8104,I would move the methods you want people to implement to be at the top and hide the static methods in a different class inside the beam-fn-execution package.,I moved the static methods to `org.apache.beam.sdk.fn.BeamWorkerInitializerHelpers` - is that what you had in mind?,1,1,1,0,1,0,0,1,1,1,1,0,1
beam,1780,"How about also `containsOnlyClassesInPackages(String...)` and `containsOnlyPackages(Iterable<? extends String>)`, which I think would be the most common uses anyhow.","Just to make sure I get it right, what's the difference between `containsOnlyClassesInPackages` and `containsOnlyPackages`? At the moment we only match exposed classes, so isn't ""contains classes"" the same as ""contains packages""?",1,1,1,0,1,0,0,1,1,0,1,0,0
beam,9381,"Unfortunately, I've found no better solution than recreating the cluster with a new number of workers. We can get back to this as soon as we find another way of scaling down the cluster. WDYT?

This code here is repetitive but it will be fixed in the ongoing refactor.",I'm afraid reusing `teardownDataproc` is not possible because it appends cluster deleting to postBuildScripts. `setupFlinkCluster` on the other hand is troublesome (due to large number of arguments) and redundant (env variables are preserved because `context` is the same entity).,1,1,1,0,1,0,0,1,1,0,1,0,0
beam,8159,(similar to above comment),I think such extension would be really useful. Do you know what kind of changes would be necessary to do it? Who could help?,1,1,1,1,0,1,0,1,1,0,1,0,0
beam,23492,group by statefamily and tag at once?,"Do you mean to do something like this `Collectors.groupingBy(makePair(StateTag::getStateFamily, StateTag::getTag))`? So the groupped result is a `Map<Pair<String, ByteString>, List<StateTag<?>>>`? This doesn't seem to be much better.",1,1,0,0,0,0,1,1,1,1,1,0,1
beam,9417,I suppose this does not have automtatic module name because people are not suppose to build from it? We should probably document this as part of `setAutomaticModuleName`in `BeamModulePlugin.groovy`. In what particular reasons we do not set automatic module names. I suppose this will be the case also for some test pure modules like the Elasticsearch ones.,"I'm still not 100% sure if we should leave modules without these headers, to be honest. My motivation was to skip it in aggregated docs (javadoc module), examples and testing modules because we know that people should not depend on it (do we?). I also find it as a form of discouragement to depend on them so but a very weak one. ",1,1,1,0,1,0,0,1,1,0,1,0,1
beam,13691,"We still use these here: https://github.com/apache/beam/blob/0c01636fc8610414859d946cb93eabc904123fc8/sdks/java/core/src/main/java/org/apache/beam/sdk/util/ReleaseInfo.java#L107

Can we make `docker_image_default_repo_root` and `docker_image_default_repo_prefix` inputs as well?","I can see that `docker_image_default_repo_root` is still used in this codebase and this file, but it isn't used as a replacement token in the processResource task from what I can see. Perhaps I am missing something though. Can you explain where the `docker_image_default_repo_root` is replaced or how it is used?",0,1,0,0,1,0,0,0,0,1,1,0,0
beam,23662,Any reasons to make it nullable?,"There's a comment: `// TODO(nausharipov): markdownStyle is nullable, because I don't know what to set here`",1,1,1,0,0,0,0,1,1,0,1,0,0
beam,5262,Consider defining an interface which is effectively a Consumer<JobState.Enum> instead of this being a StreamObserver.,"Can you expand on the motivation a little? By doing this, aren't we removing the possibility of the stream indicating an error?",1,1,0,0,0,0,0,1,0,0,1,0,0
beam,1261,I understand that you need to have `setStateInternalsFactory` in order to use this with `DoFnTester`. But all non-test code should follow the normal pattern of passing dependencies to the constructor.,"If I'm using ParDoEvaluator to evaluate processFn at all, I'm not sure how I can pass stateInternalsFactory, timerInternalsFactory and outputWindowedValue to the constructor - they are different in every bundle. Do you have suggestions?",1,1,1,0,1,0,0,1,1,0,1,0,0
beam,2947,"why we need a profile?

i think the whole story would be cleaner if we just had two executions, no profiles.","Obviously having a base set of pipeline options and hacking it (the JSON?) a bit in each execution was my first thought. Off the top of my head, I don't know a good way to do it cleanly. I can think of hacks (like extra side channels). Do you have suggestions?",1,1,1,1,0,0,0,1,1,0,1,0,0
beam,7737,"Can we add a exhaustive test for dynamic work rebalancing similar to following (using mocks for BT) ?
https://github.com/apache/beam/blob/master/sdks/python/apache_beam/io/textio_test.py#L386","About this test, I getting some errors when the assert use the try_split with `0.0` fraction and get the position, and when trying to get the try_split result of the bundle `[b'', b'beam_key2')`, and set the `b''`(first element) and get a `ValueError: Split at '' not in range ['', 'beam_key2']` error.
I don't know why I getting that error ",1,1,1,0,1,0,0,1,0,0,0,0,0
beam,3447,Pull this into a shared getNumericSqlTypeCoder method that MAX and MIN can both use?,"can you give more hints, do you mean a helper function for subclass? Don't think it can be called in `BeamSqlUdaf.getAccumulatorCoder()` as no guarantee that `AccuT` is one of Beam SQL type.",1,1,1,0,0,0,0,1,0,0,1,0,1
beam,12541,Why upload the whole directory here instead of a globstar? Just curious.,"I am not sure did I understand. Is question about why there is `examples/java/build/reports/tests/integrationTest` instead of `examples/java/build/reports/tests/integrationTest/**`?
I it was a question, I will simplify paths for `java_unit_tests` logs paths to avoid unnecessary globstar.
",1,1,0,0,1,1,0,0,1,0,1,1,1
beam,25685,We should get supported versions from JavaTestProperties .SUPPORTED_VERSIONS instead of hardcoding here.,Not sure how I can access JavaTestProperties from BeamModulePlugin. Should I create a new property in `gradle.properties`?,1,1,1,0,1,0,1,0,0,0,1,1,1
beam,11274,"If you don't use a closure, I think you can make this function a top-level one. It would be easier to understand the program flow.",@kamilwu do you mean  init_input function? Would it be preferable to start it with underscore to indicate it shouldn't be used outside of the class?,1,1,1,0,1,1,0,0,1,0,1,0,0
beam,2605,"At this point, let's do the right thing and make this private with factory methods. I would suggest `empty()` and `default()`. Maybe also `coreOnly()` which has the coders from the core SDK but does not automatically load any others.","I don't see how anything but load all the coders is what a user would want, can you mention when empty()/coreOnly() would ever be used?

Except for one test, everywhere was (seems silly that we didn't just auto-register everything everytime).
x = new CoderRegistry()
x.registerStandardCoders()

Unfortunately default is a key word in java, went with createDefault",1,1,0,0,1,0,0,1,1,0,1,0,1
beam,5481,"This is too specific for a test. Changes that are totally OK can break it easily. I think you just want to make sure this query can actually run, not crash, right?

",I think we want to do is testing those rules do not cause any exception when parsing sql.  Could we assert the test doesn't throw any exception?,1,1,1,0,0,0,0,1,1,0,1,0,0
beam,8961,TimestampedValue already implements `__lt__.` If it's missing an ordering function maybe we should add it there.,"`TimestampedValue` does implement comparisons, but those comparisons are done  based on the value rather than the timestamp. Here, we want the values with the oldest timestamp to come first. Would you think that changing the name of this class would make our intention more clear?",1,1,1,0,1,0,0,1,1,0,1,0,0
beam,14338,drive-by: could you include the Postgres documentation link in this comment?,So we would store the `config`parameter passed in `withDataSourceConfiguration`? What would be the path to retrieve this parameter from it?,1,1,1,0,0,0,1,0,0,0,1,1,0
beam,10126,"We could run teardown at the end of the test and ensure that no additional output has been added, ditto for the ones below.","Sorry, I don't think I fully understand what you mean. Can you explain it more? :)",1,1,1,0,1,0,0,1,1,0,0,0,0
beam,15540,Why drop serializable?,Was messing with some stuff attempting to get the test working. Forgot to re-add. Though as an aside I'm not sure why this is necessary since everything seems fine with out.,1,1,1,0,1,0,0,0,0,0,1,0,0
beam,3661,This will break in the presence of non-trivial triggers/merging windows; at least test and throw an error in that case?,Added these restrictions and added a link to a JIRA. So I think we cannot allow merging windows/non-trivial triggers since the GBK inserted by the framework will result in unexpected window merging/trigger firing. Is my understanding correct ? If so do we have to impose these restrictions when we insert GBK transforms at other places as well ?,1,1,1,1,1,1,0,1,0,1,1,0,1
bookkeeper,2214,"I think the information should be designed in a way for extensibility rather than just putting key/value pairs in the znode.

Here is something I have in my mind:

```
listeners:
    - name: 'internal'
       hostname: internal_ip
       port: port
       type: bookie
    - name: 'external'
       hostname: external_ip
       port: port
       type: bookie
    - name: 'external_tls'
       hostname: external_ip
       port: port
       type: bookie+tls
    - name: 'http'
       hostname: ip
       port: port
       type: http
network_address:
       path: ""/region/rack/host""
properties:
       'user-key': 'user-val'
```","So you are thinking about a more strongly typed structure ?

```
class BookieServiceInfo {
      class Endpoint {
           String name;
           String hostname;
           int port;
           String type;
      }
      Map<String, Endpoint> endpoints; (name => endpoint, no duplicate names allowed)
      String networkAddress;
      Map<String, String > properties;
     
     public void addEndpoint(Endpoint endpoint) ....
     public void setProperty(String key, String value)...
     public void setNetworkAddress(String networkAddress) .....
}
```

I like this idea.
I am not sure about the ""network_address"" example, 
I see value in ""region"" and ""rack"", maybe as separate values

Anyway I would defer introducing those concepts in a first implementation, because it deserves a discussion about how to migrate from the current script based approach

Is it okay for use to use JSON format ?",1,1,1,0,0,0,1,1,0,1,0,0,1
bookkeeper,1621,Don't you loop on the chain? Thinking about ExecutionException for instance...,I don't understand the question,1,1,1,0,1,0,1,1,1,1,0,0,1
bookkeeper,350,"> clients need their own key and certificate

If you only want to do encryption, in general there's no need for the client to configure a certificate. A self-signed certificate should be created on the spot. (I have not checked if it's actually true in the current implementation)",yes. the subsequent sentence explains `key` is for encryption and `certificate` for authentication. is that enough? can you guys suggest a better structure for explaining that?,1,1,0,1,0,0,0,1,0,0,1,0,0
bookkeeper,2257,"Is is too ambiguous.
We ate not sure that only the last line threw this exception.

Please move the assertion exactly around the expected invocation ",This annotation works at a class level -- not sure how I can make it to the specific line?,1,1,1,0,0,1,0,0,1,1,1,1,0
bookkeeper,2636,This is problematic since it is done during Gradle's configuration phase.,"I am not sure I understood this, as what you mean by gradle's configuration phase, and why it is problematic. ",1,1,1,0,0,0,0,1,1,1,1,0,1
bookkeeper,1866,Use constant for '3' ?,what would you name such a constant?,1,1,0,0,1,0,0,1,0,0,1,0,0
bookkeeper,742,"please define CONSTANT for `1`

or `flagValue & DEFERRED_FORCE.getValue() == DEFERRED_FORCE.getValue()`","used DEFERRED_FORCE.value, it is private, maybe more efficient ? ",1,1,0,0,1,0,0,1,0,0,1,0,0
bookkeeper,2180,"can you please  check the usages of this method ?
I found usages of it as the result was as nullable Long instead of a primitive long","hey @eolivelli both in the existing code and the change I made, getFirstStoredEntryId returns primitive long value. I'm not sure what you are referring to.",1,1,1,0,0,0,0,1,1,0,1,1,0
calcite,1102,"Currently the cursor function accesses the `ordinal`th element from the top of the stack. So, if we create a table function with two inputs, the left input will be cursor(1) and the right input will be cursor(0).

But we actually want them to be the other way around.

I suggest that you add an `inputCount` parameter (see: `field(inputCount, inputOrdinal, fieldOrdinal)`). Thus the left input would be `cursor(2, 0)`, and the right input would be `cursor(2, 1)`.

By the way, it is correct to call `peek` here. But `functionScan` should call pop for each input.",Will do. But I am curious about why doing like that.,1,1,1,0,1,0,1,0,1,0,1,0,0
calcite,471,Could you move the three ```break;``` clauses to the end of the ```case``` block? No need to have three.,"I am not sure what do you mean. Do you prefer:
```java
case FLOAT:
  //fallthrough
case PRIMITIVE_FLOAT:
  //fallthrough
case PRIMITIVE_DOUBLE:
  //fallthrough
case NUMBER:
  //fallthrough
case DOUBLE:
          if (s.equals(""Infinity"")) {
            rowBuilder.set(i, Double.POSITIVE_INFINITY);
            break;
          } else if (s.equals(""-Infinity"")) {
            rowBuilder.set(i, Double.NEGATIVE_INFINITY);
            break;
          } else if (s.equals(""NaN"")) {
            rowBuilder.set(i, Double.NaN);
            break;
          }
        //fallthrough
        default:
```
or just:
```java
  case FLOAT:
  case PRIMITIVE_FLOAT:
  case PRIMITIVE_DOUBLE:
  case NUMBER:
  case DOUBLE:
          if (s.equals(""Infinity"")) {
            rowBuilder.set(i, Double.POSITIVE_INFINITY);
            break;
          } else if (s.equals(""-Infinity"")) {
            rowBuilder.set(i, Double.NEGATIVE_INFINITY);
            break;
          } else if (s.equals(""NaN"")) {
            rowBuilder.set(i, Double.NaN);
            break;
          }
         //fallthrough
        default:
```
I think the first one is what you mean, but it seems a little bit cumbersome. The second is good enough to clarify the confusion in here.",1,1,0,0,1,0,0,1,1,0,1,0,0
calcite,3145,I agree with Julian that we don't need a new module; putting the tests in plus makes sense.,"I am not sure what ""plus"" is. Should I just move the code into the plus project using the org.apache.calcite.slt package?",1,1,0,0,0,1,0,1,1,1,1,0,1
calcite,478,"This might not be correct, since a Project below the Aggregate might rename the columns.

In fact, you should rely on _checkAggregateOnMetric_ method in DruidQuery, passing in the first parameter an ImmutableBitSet with the references used by the aggregateCall.",I don't see a field inside of `AggregateCall` of type `ImmutableBitSet`. Did you mean the aggregateCall's `argList` (type `ImmutableList<Integer>`)?,1,1,1,0,1,0,0,1,1,1,1,0,0
calcite,2559,"if there is concrete implementation, can we add some sql tests?  
+ doesn't seems mentioned in the spec, but does it interact with filter clause etc.","Could you please a bit elaborate what kind of tests do you mean?
e.g. like that 
https://github.com/apache/calcite/pull/2559/files#diff-cb3257551f96f6523e9c4464d9359b21b0408ccfb7315955f97a59b45546bc1cR5790-R5799 ?",1,1,0,0,1,0,0,1,0,1,0,0,0
calcite,2724,"I'm suspect whether we should remove the parentheses?
If the SQL is :
```
""SELECT \""product_id\"" FROM \""product\""""
        + ""UNION ALL\n""
        + ""(SELECT \""product_id\"" FROM \""product\"")\n""
        + ""INTERSECT ALL\n""
        + ""(SELECT \""product_id\"" FROM \""product\"" WHERE \""product_id\"" > 10)""
```
```
SELECT \""product_id\""
FROM \""foodmart\"".\""product\""
UNION ALL
SELECT *
FROM (SELECT \""product_id\""
FROM \""foodmart\"".\""product\""
INTERSECT ALL
SELECT \""product_id\""
FROM \""foodmart\"".\""product\""
WHERE \""product_id\"" > 10)
```

I think it has become unclear? So maybe we should stay the parentheses?
",Do you mean we should retain it when there is a `where` condition? Or we always retain parentheses?,1,1,1,0,1,0,1,1,0,0,0,0,1
calcite,471,Could you move the three ```break;``` clauses to the end of the ```case``` block? No need to have three.,"The reason I put break in each branch is because when the String calcite received is not ""Infinite"", ""-Inifinty' and ""NaN"", it is possible that the String is a String representing float number. This case will be dealt in the default branch. I can change it to a switch cases to keep this logic. Or is it actually all return of Float calcite type can only be String when return is one of ""Infinity"", ""NaN"" and ""-Infinity""?",1,1,1,0,1,0,0,0,0,0,1,0,0
calcite,2365,Please move the precondition to `matches` method,"Do you mean that the usage of the precondition is same as `RelOptRule`?
The usage of the two is different here, you can refer `org.apache.calcite.plan.SubstitutionVisitor.JoinOnLeftCalcToJoinUnifyRule`.





",1,1,0,0,1,0,0,1,1,0,1,1,0
calcite,2559,If any input argument is `NULL` the function returns `NULL`? According test in SqlOperatorBaseTest. The test return value is different. Or did I misunderstand?,"Not sure what exactly you are referring to... Probably this
```
    tester.checkScalar(
        ""array_concat(array['hello', 'world'], array['!'], array[cast(null as char)])"",
        ""[hello, world, !, null]"", ""CHAR(5) ARRAY NOT NULL"");
    tester.checkNull(""array_concat(cast(null as integer array), array[1])"");
```

The key difference here is that in the first test there are elements `array['hello', 'world', '!']` and `array[null]` while in the second there are `null` and `array[1]`.
So the tests check that if argument is null then return `null` however if an argument is a collection containing `null` value it should do normal concatenation.

In case you are referring to something else please elaborate",1,1,1,1,1,0,0,1,0,1,0,1,0
camel,2093,"The rest is just unit tests and tooling so its not as important as runtime camel-core etc. However the changes are fine to do, but maybe favor using `{}` style","In general, you do not recommend increasing complexity with the if statement. right? ",1,1,1,0,0,0,0,0,1,1,1,0,0
camel,8661,"Maybe describe the error that caused the problem. Something like: `LOG.error(""There was an error opening the {} repository: {}"", endpoint.getLocalPath(), e.getMessage);` 

Or ... just wrap the exception. ","`LOG.error(""There was an error opening the {} repository: {}"", endpoint.getLocalPath(), e.getMessage);` This will create a sonar issue.

So wrap on wich exception?",1,1,1,1,0,0,0,1,1,1,1,0,0
camel,2995,This is part of the javadoc.. you need to modify the javadoc and rebuild,when I use mvn package command every change I did revert back to where I was before.How can I fix that?,1,1,1,1,1,0,0,1,0,0,1,0,0
camel,11906,Is all this code in the constructor? If so it should be moved to doInit where you do all kind of initialization,"Apologies, but I am not sure what you mean.  It looks like you are referring to the code in `doInit()`, so I must be misunderstanding you.  Could you please clarify?",1,1,1,0,1,0,0,1,1,1,1,0,0
camel,5177,We need to make @Converter(allowNull = true) as the converter can return null as a valid response,"I did not explain myself properly, sorry. I was meaning that according the documentation, when the converted value is expected to be a _miss_ then `null` should be returned. If `null` is allowed to be a valid response, then, we should include the annotation as you said. In this case, `null` won't be a valid response, but just a _miss_, so I understand that the annotation is not needed. At least, this is what I understood from the doc, or am I misunderstanding something?",1,1,1,0,1,0,0,1,1,1,1,0,1
cassandra,745,"It's better to keep implementation details out of these docs, I think - I'm not sure it's necessary to specify that a UDT is a form of tuple.  Much as I like it, I think docs should also perhaps use less interesting language? (so ""on steroids"" might better be avoided, but just my 2c)","Hey, @blerer! Thanks for the review!
Do you have any suggestions on how should I write this? I thought the aforementioned suggestion was fine, but I'm not sure how to improve it. :confused:",1,1,1,0,0,0,0,1,1,0,1,1,0
cassandra,1454,"still wondering if possible to have 1 node be a follower and not; doesn't make sense to stream to yourself, but not sure if that is actually blocked or not... wondering if I should make this `(id, follower)`","still wondering if possible to have 1 node be a follower and not; doesn't make sense to stream to yourself, but not sure if that is actually blocked or not... wondering if I should make this `(id, follower)`",1,1,1,0,1,0,0,1,1,0,1,0,0
cassandra,2395,We should preserve the TODO about skipping unselectable nodes,"I think it's sufficiently preserved, above, just above the switch statement? Unless you mean something else.",1,1,1,0,0,0,0,1,1,0,1,0,0
cassandra,1567,It is slightly weird to have both the `Supplier` and the `Predicate` here - but i guess its needed due to that `sstablesInBounds` method. Maybe we should add an assertion that `sstablesPredicate.test(..)` returns true for sstables from `sstablesFn`,"not sure about this one, `sstablesFn` is called when compaction is paused, so if I call earlier than that could that not cause problems?  Unless I call early not sure how to get access to the SSTables",1,1,1,1,1,0,0,1,0,0,1,0,0
cassandra-java-driver,1241,"I am not sure why in JIRA ticket there was info that we need to handle `NullSavingStrategy` for `@Query`.
In `QueryIT` I see that all queries are `SELECT` or `DELETE` so `nullSavingStrategy` has no influence over them.
Do we plan to support `INSERT ..` in `@Query` annotation?","I am not sure why in JIRA ticket there was info that we need to handle `NullSavingStrategy` for `@Query`.
In `QueryIT` I see that all queries are `SELECT` or `DELETE` so `nullSavingStrategy` has no influence over them.
Do we plan to support `INSERT ..` in `@Query` annotation?",1,1,1,0,1,0,0,1,0,1,1,0,0
cassandra-java-driver,1242,"I think we are missing test case that does `@Computed(""ttl(v)"")` and `@CqlName(""myttl"")` but cql name is not present in results from the query",You mean just to validate that an exception is thrown if the user provided query does not match the expectation of what the result alias should be?,1,1,1,0,1,0,1,0,0,0,1,0,0
cassandra-java-driver,1306,"This is semantically a CQL `date` type, why model it as a `varchar`?","I'm not sure, I just reused the KillrVideo data model as-is, and it's how they do it. Maybe they wanted to support legacy versions that don't have `date`.",1,1,1,0,1,0,0,0,0,0,1,1,0
cassandra-java-driver,982,It would be better to use `PREPARED_METADATA_CHANGES.isSupportedBy(version)` for this test.,"was following the logic in `encode` which checks the protocol version, should we change that to?",1,1,0,0,1,0,0,1,1,0,1,0,0
cassandra-java-driver,1235,"I am not sure if we should support `USING TTL ?` syntax in the `customUsingClause`. 
I think we don't need it since we are binding parameters from the method arguments using named parameters","I am not sure if we should support `USING TTL ?` syntax in the `customUsingClause`. 
I think we don't need it since we are binding parameters from the method arguments using named parameters",1,1,1,0,0,0,0,1,0,0,1,0,0
cloudstack,4847,"@Spaceman1984 should the source be the guest network ?

refer to https://github.com/apache/cloudstack/pull/3907/files","I'm not sure I understand what you are asking. The way it is now, port 80 and 443 are only open from within the guest network.",1,1,1,1,0,0,0,1,0,1,1,1,0
cloudstack,3430,Code formatting for this section of code is different ( spaces used ),Do you mean ` if( network.getTrafficType()....` should be reformatted to ` if (network.getTrafficType()....`?,1,1,1,0,0,0,0,1,1,0,1,0,0
commons-collections,160,Introduced new formatting,I can not figure out how to get Eclipse to format the line so that the continued array initialization (line 67 above) is not indented an extra 4 space.  Anyone have any idea how to do this?,1,1,1,0,0,0,0,0,1,1,0,0,0
commons-io,500,"Just a thought, but is it possible to use `tempDir.charAt(tempDir.length() - 1)` and `File.separatorChar`?",what do you mean? you want  ln1468 changed to use `File.separatorChar` ? what would be the difference?,1,1,1,0,0,0,0,0,1,0,1,1,0
doris,333,I think `RoutineLoadManager` is better.,Why `Load` not use `LoadManager`?,1,1,1,0,0,0,0,1,1,0,1,0,0
drill,2445,"I don't think it is safe to set `UserSession` in this way. For the case when we have concurrent queries, `UserSession` from one user could be set, and before it is used, another user can override it...","Do you think the right approach here would be to update the `UserSession` here?   If so, we'd still need the setter.  ",1,1,1,0,1,0,0,1,0,0,1,0,0
drill,2238,"Specifying the `NULL` type here may cause issues later when this type is used for obtaining values comparator... 
But do we actually support partitioning list columns, i.e. if `majorType` is null, maybe we should set `partitionColumn` to false instead of calling the `checkForPartitionColumn()` method?","@vvysotskyi 
I've add a if condition in `checkForPartitionColumn`. Do you mean like this?",1,1,1,1,0,1,1,0,1,1,1,0,0
drill,2044,"It's better to use here DCL to avoid constant synchronization.

@vvysotskyi @paul-rogers it is ok to call such methods from UDFs? I recall there was some discussions in Jira about scalar replacement. Does it apply here?","What do you mean with DCL?
I happy to change the code if needed.",1,1,1,0,1,0,0,1,0,1,1,0,1
drill,1641,"There is overloaded `sqlQuery(String query, Object... replacements)` method.","Not sure why this should be used - I find the concatenation fine. If you have any objections, please feel free to point it out.
Just to be sure, do you mean to have the base query with `%s` so the additional part should be formatted (well, passed to the method as the second parameter)?",1,1,1,0,1,0,0,1,0,0,1,1,0
drill,2432,Not sure 2500 is enough. Drill can use more memory. If you will run several times tests with this configs sucesfully - it is fine. Otherwise try to decrease slightly - 100-200Mb,"@vdiravka do you mean _increase_ slightly?  So heap = 2000, direct = 2700?",1,1,1,0,0,0,1,0,1,0,1,1,0
druid,9863,"Maybe also print a message indicating this is the list of all files, etc.","Travis already echos the command to the log: https://travis-ci.org/github/ccaominh/druid/jobs/686402944#L5741

Does that accomplish what you had in mind?",1,1,0,1,1,1,0,1,0,0,0,1,0
