CCR,response,actual,Prediction
"Can we also compare the values for the keys, to make sure that no values were not lost during write-read operation? 
I think it could be accomplished by running co-GBK of a pcollection  coming form `     | 'read-fastavro' >> ReadAllFromAvro() \`, and  pcollection of generated data. Then, we can extract the set of elements tagged with first pcollection, and the second pcollection, and verify that these sets are the same for all elements in GBK output.",I changed according to the above suggestions.  Can you verify if the pipeline looks okay?,1,1
"According to the code style, you can skip braces here. We also follow follow Sun Style so braces go on new lines.
Reference: http://cassandra.apache.org/doc/latest/development/code_style.html",fixed,0,0
Let's add this method later since we need to thing about the new logic.,will do,0,0
verify please,The reason for this is that the method in which `prepareRecycle` is used is the mocked `createStandbyTaskFromActive` of `standbyTaskCreator`. Let me know in case I am wrong,0,0
"This I would resolve upfront in modules body, and probably keep in `deprecatedByEnv` _set_ var",I added it here because it was difficult to override process.env with specific value before certain test cases. Unless I re-require manually on these tests,0,0
Is this the implementation class? If so can we use `class` instead of type to be more explicit?,done,0,1
Please leave msg.,"I can use `new SamzaException(msg, e)` . Is that fine? ",0,0
assertTrue(createTime.before(now)),createTime may equals now,0,0
Minor: I'd suggest reword this block of comments - `A window() that executes for more than task.window.ms will starve the next process() call`,Done,0,0
"This isn't the standard in Go BTW, and the Diamond Dependency problem isn't as much of a problem. Essentially two different major versions of a package are two different packages as far as the compiler is concerned.

Healthy packages have a major version release to indicate breaking changes the external APIs. And to use a new major version, the imports would need to change as well. 
Otherwise the two distinct major versions of the same can happily live in the same binary.

See https://go.dev/doc/modules/release-workflow#breaking and https://go.dev/blog/module-compatibility

Granted, that's the ideal, but in cases where that's not the case:
https://go.dev/ref/mod#go-mod-file-exclude


All this is largely to say, for folks concerned with Go Dependencies, we should communicate to them in Go terms. Emphasize that the Beam Go SDK is using Go Modules, and that the Go documentation on the topic applies, and most importantly: not repeat more than we have to.  

The section specifics below are fine though, incase a non-go users wanders onto the page","Yeah, I took this pretty verbatim from Java/Python and probably shouldn't have (I read this as differently versioned packages might not play well together - e.g. if you convert our beam.EventTime to and from mtime you might get unexpected results with different package versions than we have or something, but that's not really what its saying, nor is it particularly helpful).",1,0
"Most ppl working on this code are not Python experts.
Please avoid this very opaque ""bool and string or string2"" expression, and use something that Java developers can understand.","Python doesn't have a ternary operator and this is the closest thing from the convenience point of view. In other words, this would be equivalent to (in java): `(! args.noconnect ? "" -u jdbc:phoenix:"" + phoenix_utils.shell_quote([zookeeper]) : """")`. This is not a Python expert level feature and there is nothing that is purposefully made to look cryptic.",0,0
Maybe just throw an exception directly is ok.,I have removed the method because only one situation used it.,1,1
"2 things here:
- I think this variable should be named just ""active""; because it is a base type (boolean) Lombok will generate a ""getter function"" that is called ""isActive()""... which is better style... the prefix ""is"" in the variable is kind of redundant, so let's try to get rid of it
- also: as this is a base type ""boolean"" the default value is anyway ""false"" so let's remove that unnecessary assignment

The rest looks good and after these small changes we should be ready to merge.",corrected,0,0
private is enough?,Fixed,1,1
Could you add also the contents of the license file?,Shall I add an additional one or refer to the existing ANTLR-2 in nbbuild/licenses?,0,1
Is initKeysRelationships better than initKeysRelationship?,OK.,1,1
s/generation/currentGeneration/?,I pushed 7e69ae817ccb176a068754a2ec1a6527c7b17f69.,1,1
The promisified function doesn't accept a callback does it?,"@jkleinsc missed that, removed.",1,1
"This should be in a finally block. eg:
Namenode namenode = new Namenode(conf)
 try {
     Do Something
} finally {
  if (namenode != null) {
      namenode.stop();
}

The reason being, in case the test fails after creation of namenode, in that case if it isn't in the finally block the stop command won't be executed.

","Thanks @ayushtkn  for your review,  have just updated the code",0,1
Remove comment,done,0,0
"<!--new_thread; commit:c6c7070ad92424707d3720d3a4dc2c0fb6961440; resolved:0-->
Integration tests for reading/writing using file-based sources/sinks.",Ok,0,0
"```suggestion
  private static InputStream mockErrorResponse(String errMsg) throws JsonProcessingException
```",changed as suggested,0,0
" Do we want this setting to apply it to all operators or only the `Writer`? I think that it seems more relevant for the writer only as that is what the user ""sees"", but I am not 100% sure.",I think you are right. It is more intuitive to only set to the `writer`,1,1
"I think to be consistent with `createQuorumPeer()` method this should be something like:
```
peers.put(observerId, new QuorumServer(observerId, new InetSocketAddress(""127.0.0.1"", PortAssignment.unique()), 
               new InetSocketAddress(""127.0.0.1"", PortAssignment.unique()),
               new InetSocketAddress(""127.0.0.1"", PortAssignment.unique()),
               QuorumPeer.LearnerType.OBSERVER));
```
","Do you mean using PortAssignment.unique() and ""127.0.0.1""? Changed it.",1,1
"Can't we just assign lastSendFuture once, before calling isBatchMessagingEnabled()? Once we get to that point, the message is going to best sent in any case.",fixed,0,1
"I'd flip this and say that the two cases are the general case or the ""only one pane"" special case that doesn't require state.",not sure I understand?,1,1
"as this is just a single line now, it doesn't have to be a field, you can have it in the methods",done,1,1
"Presumably this code can now be dropped?
",Done,1,1
Do we still apply this 65533 default UID somewhere?,this is now also covered by a test case.,1,1
Can we associate this with a github issue?,Done,0,1
"you mean ""java serializable"" correct? ",Done,1,1
Given it's a list I'm not quite sure how meaningful that would be in the string value. Minor nit.,ok,1,1
"may need some synchronization and double check here? `readConfig` is invoked in a scheduled executor at fixed rate (`org.apache.skywalking.oap.server.configuration.api.ConfigWatcherRegister#start`), in an extreme situation, there may be two or more threads that run into this piece of code simultaneously. I'm not sure whether it's worthy to lazy initialize the `EtcdClient` or not.","I saw only one thread do the sync operation. @kezhenxu94  so i didn't add the sync. am i wrong ? if so, i will modify this.",1,1
"not sure why we actually need `hashCode/equals` for `NettyShuffleEnvironmentConfiguration`,
but we should use `Arrays.hashCode()` and `Arrays.equals()` for arrays here and in `equals`.",I also think `hashCode/equals` are not needed in this class. Or  we do not add the `tempDirs` for these methods which might be removed future in separate ticket. Or  add it as you suggested. Which one do you prefer?,1,1
maybe the one taking an int-argument is enough?,"I ended up keeping it as an object, so that users are able to use existing constants objects like `ActiveShardCount.ALL` and `ActiveShardCount.DEFAULT`. It also matches what is currently done in other HLRC request classes.",1,1
nit: `private static final Logger LOG = ...`,done,0,0
"Please `io.druid.java.util.common.ISE` for `IllegalStateException`, which under the hood uses `StringUtils.safeFormat` for error message printing.",fixed,0,0
FFT: Guava preconditions might improve readability here.,Done,0,0
the profile: `keycloak` instead `'events-support'`,done,0,0
"```suggestion
```

`DataUpdateCoordinator` will take care of the logging",Good point. I guess the correct way to handle is to fix the log in `DataUpdateCoordinator` rather than add another one here.,0,0
"This annotation is not really meaningful here by itself, can we add a comment?",Which annotation? Do you mean `@Deprecated`?,1,1
Please remove useless blank line,okay,0,0
Shouldn't we reuse the cache instance?,"TableProvider.getTable is called once per tableId so I don't think we should reuse cache among different tables, right? ",1,1
"Looks like `METADATA_FILENAME` should be some sort of `OLD_METADATA_FILENAME`
but `FILE_METADATA_FILENAME` -> `METADATA_FILENAME`",Changed.,1,1
can you please add isEqual testcase to TestValueBoundaryScanner?,Added,0,1
"This design with an instance of a `SourceFunction` probably needs to be changed when using the new source interface and putting the timestamp assigner into the source.
Should we take that into account now?","I prefer to wait. Before creating this PR I experimented with schemes for including that, and concluded it's better to wait.",1,1
"any need to check `if (expression.getType() == ExpressionContext.Type.IDENTIFIER)` like L51 above? iiuc, we pushDown only when there is no transforms, i.e. a pass-through to projection block. ",If there is a column name it must be an identifier. I had previously only implemented this for `ProjectionBlock` for this reason though.,0,1
"`path` is defined as `f->get_path()` on line 58, so I think these `f->get_path()` changes are not necessary.","Indeed, that's because the commit I cherry-picked was from before #40372, which was cherry-picked for `3.x`. So this would actually crash here, I'll change it back.",0,1
This should have type `Pattern` unless there is a special reason not to compile it right away.,done,1,1
"Soft suggestion: the dependency management is usually part of the kie-parent too, so that you can just use the dependency and the version property is hidden for you.","That's really nice! Thank's for the tip. That PR is approved, yet still not merged...",0,0
Would getHttpsPort not make more sense - now it looks like getHttpSport :-),fixed,1,1
"hmm, shouldn't this just be a DataFrame that is aligned? why go to all of this complication (and its fragile)?",Ok how's this: I've split the 1d and 2d cases still compare shape at end with error if they don't match.,1,1
"Why do we need to download the whole file?

Just create an InputStream and an OutputStream and then use IOUtils.copy?",@Apache9 Not sure if I understood what you meant. Can you explain a bit more detail?,1,1
"I think the wording on this message is a bit strange. We try to make our error messages ""actionable"", so there's an error that the user is encountering, that they likely weren't expecting, what can they do moving forward to fix this error message. This one leaves me confused. 

Is this check in case they pass in a negative padding? Are they screenshotting a zero width element? 

1. What's the actual situation the user has put themselves in that causes this error?
2. What can the user do to get rid of this error?","Ah - you already mentioned the bug. Yes, it's a solution to #5149. Should we change the error message to mention that the element has zero height? (I am not sure whether it can happen in cases not involving an element.)",1,1
"Did you encounter the exception: Exception in thread ""main"" java.lang.NoSuchMethodError: com.amazonaws.services.s3.transfer.TransferManagerConfiguration.setMultipartUploadThreshold(I)V

in your testing? There's some discussion on it here https://issues.apache.org/jira/browse/HADOOP-12420 and the conclusion at the end is that Hadoop 2.7.3 will only work with aws-java-sdk 1.7.4 until Hadoop 2.8 is released (https://issues.apache.org/jira/browse/HADOOP-12269). I was only able to get the s3a scheme working by downgrading Druid's version of aws-java-sdk to 1.7.4 so I'm curious what your experience was.","@dclim i havn't run into this issue, maybe because i am not loading the s3a module, in fact i am using hdfs module to read segments.",1,1
does this round up or down? (I suppose we ideally should round down so we never accidentally show 100%?,It just simply rounds the value to the nearest integer. Why do you think we shouldn't be showing 100%?,1,1
We should not remove the `ScheduledUnit` parameter here.,"Why put the ScheduledUnit as a parameter here? I think the interface in slot pool should be clean and it should only have resource related parameters, should not have schedule related parameters.",1,1
The period doesn't make sense as it isn't a sentence.,Some of the items has period some doesn't. should we remove period for the ones with?,1,1
Reset to true in the end,Added,0,0
"Can we use a precomputed constant value for `expectedManagedMemoryMB`, the really expected one?
So that the test does not depend on `updateTaskManagerConfigAndCreateWorkerSlotProfiles` because otherwise if there is an error in `updateTaskManagerConfigAndCreateWorkerSlotProfiles`, this test will also calculate incorrect value and pass.
e.g. `defaultTaskManagerMemoryMB` could be set to some constant in `configuration` and corresponding constant `expectedManagedMemoryMB` could be used for the check.","I tend to disagree. I don't think it is necessary for this test case to have any assumption on how `updateTaskManagerConfigAndCreateWorkerSlotProfiles` calculates managed memory. The purpose of this test case, to my understanding, is to validate that configurations are well passed to TMs rather than the calculation logics. The latter is already covered by another test case. If it does happen that the real calculation changes in a way that `updateTaskManagerConfigAndCreateWorkerSlotProfiles` is not used any more, then this test case should also fail as long as the calculation on TM side changes consistently, or otherwise the other test case `testCreateSlotsPerWorker` should fail.",1,1
"```suggestion
The client JAR can be found in `fineract-client/build/libs`.
```",Done,0,0
don't you need to change this config for JVM dtest as well?,"I changed it in `AccordTestBase`, of course, but outside that, my goal was to keep the rest of the in-JVM test landscape running w/ the default, which right now means `accord_transactions_enabled: false`. Right trade-off, or am I thinking about it wrong?",1,1
Please delete blank line.,done,0,0
Remove all the secret = false as that is the default and just clutter up the code,fixed,0,0
"can you check `if (topic instanceof PersistentTopic)`?

```
        if (!(topic instanceof PersistentTopic)) {
            log.error(""[{}] Not supported operation of non-persistent topic {} {}"", clientAppId(), topicName,
                    subName);
            throw new RestException(Status.METHOD_NOT_ALLOWED,
                    ""Skip messages on a non-persistent topic is not allowed"");
        }
```",done.,0,1
Why are these protected rather than private?,Wouldn't the concrete builder need to verify & use these like here `flink-connectors/flink-connector-aws/src/main/java/org/apache/flink/connector/kinesis/sink/KinesisDataStreamsSinkBuilder.java`,1,1
"nit: should be a constant, especially since it's reused.","The entire test suite uses hard coded values. This test suite needs to be restructured so that these values are set using a formula. At this moment, this test suite is useless to me since the expected value is set to the actual value manually.",0,0
No exceptions now,`curr.get()` can throw `IgniteCheckedException`,0,0
"```
      if (err.code === 'MODULE_NOT_FOUND') {
```","No, that doesn't make sense. MODULE_NOT_FOUND is a legit error that can come from any module that bundleRequire fails to find when it tries to load the config file",1,1
"Presumably this code can now be dropped?
",Done,1,1
Some suggestions on the sentence: 'Cardinality job has been submitted successfully. Please wait a while to get the numbers.',done,0,0
"I may have been lazy in not letting this be automated, since it never came up. It is true that `KeyedWorkItem` is not in the default registry, but I think `getDefaultOutputCoder` should be able to provide a coder. Feel free to file a JIRA against me for this.","It's not, and this is a `ParDo`, so it has to use the `ParDo#getDefaultOutputCoder` - so we either add `KeyedWorkItem` to the registry (which might be worth doing if possible), but we can't implement one.",0,0
Why change these logs at all?,This doesn't need to be changed. Reverted them.,1,1
"The the current approach, you will miss the last batch rite ?
So if total rows are 1950, 
you would only have metrics for the first 1000 rows. 

",Changed!,0,1
"This looks, at first glance, like it does the same thing as `ThreadSafeSingleton` in `source/common/singleton/threadsafe_singleton.h`. If it's substantially different, please document exactly why it is needed, when it should be used, etc. And probably move it to the `singleton` directory.",Great! Will give it a read. Thanks!,0,0
"I think the question about this file - in general - is that seems to be related to a specific customer business logic. I'm not sure if it's meant to be kept internal and a good idea to have it in the upstream codebase. Possibly an ""anonymized"" file can be created or a simplified one?",We have a couple of simple files in our test cases: drools/kie-dmn/kie-dmn-core/src/test/resources/org/kie/dmn/core/0001-filter.dmn. Can I add a couple of extension elements to a couple of InputData elements?,1,1
"I think this date is probably wrong, since the sample data is in an archive called wikiticker-2015-09-12-sampled.json.gz","Ah yeah, I had swapped from the 2016 set to the 2015, fixed",0,1
"this should let spotless fail, no?","forgot to run it, sorry",1,1
"It seems that you have migrated your tests to junit5 by the way, which is really good.
I have two small suggestions:
1.juni5 it is not recommended to modify the test class and methods with pubic access modifier, but use the default modifier directly.
2. the assertion part should use Assertj instead of Junit's own.",Now only Assertj should be in place here.,0,0
Shall we make this more generic? Can targets other than listeners have unready targets?,Great idea! Thanks for the review. Updated,1,1
we can use SecurityConfig.getProvider() call here.,Done,0,0
worth typing the args?,"Sure, typed the straightforward args",1,1
"Can you move this inside the ES Sink?
It looks like a new API if we put this here",Moved to the es-sink,0,1
"another nit, lets put this one line inside `{}`
Is that not already the part of codestyle?","Yea I also thought this was strange, adding.",1,1
"this change isnt needed, should revert all changes in this file","this change isnt needed, should revert all changes in this file",0,0
"for my understanding, why `ObjectHelper.notNull` has been removed ?",done,1,1
it seems like it can get tedious to track which tests are running with local channels. Can we turn this functionality on and off across the entire suite with a command line arg when starting the tests?,Ping,0,1
"The behavior should be consistent between the Pulsar server and the test? If users configure the shutdown timeout which < 1000L, what is the expected behavior.",I guess one alternative is to use the timeout value of 0 in tests and ignore the timeout exceptions when timeout is 0. That could be less surprising than having the 1000ms boundary.,1,1
"Status::NotSupported(""TODO"")",done,1,1
Change the name to testGestLastMessageId?,Fixed.,1,1
"```suggestion
The client JAR can be found in `fineract-client/build/libs`.
```",Done,0,0
FFT: Guava preconditions might improve readability here.,Done,0,0
Here something strange happened with indentation,fixed,1,1
I think it could cause some loss of precision here. We need to estimate its influence.,Changing `product` to `long` could cause overflow.,1,1
"This module seems less urgently needed than measurement of the actual operators, since the execution is asynchronous.",Agreed. Making it all ndarray operators only for this initial work.,0,0
Why move selectStatement to CreateTableStatement?,"Hi, mentor. When analyzing the SQL format of ""CREATE TABLE AS SELECT"" statement in MySQL, I found that Oracle, SQL Server, OpenGauss, and PostgreSQL all support similar SQL formats. The SelectStatement is currently defined in the SQLServerCreateTableStatement. Should we move the SelectStatement to the CreateTableStatement class for definition?",1,1
"It seems this pr will change the metadata structure, we need to refresh the whole data in db.","@ruanwenjun I got you. So it seems that `prop` should remain unchanged, and only rename `Property` to `Parameter`, WDYT?",0,0
We don't want this. Public types must not be `Impl`s.,ConsecutiveInfo is the api type of `ConsecutiveDataImpl`; javadoc got stale,1,1
can you add a comment stating why this needs to be volatile.,added,0,1
Look to other component to see how that should look,Changed,1,1
"Drop L449 and 450? This function seems like it does not take a string.
","Fixed.
",0,1
@jbonofre what's the advantage of using geronimo vs. jakarta? I know you mentioned in your implementation you used geronimo - why is one more likely to create conflicts with Camel?,I have some more changes coming in this morning.,1,1
Redundant null check: if subSchema.getLogicalType() is null then subSchema.getLogicalType() instanceof Decimal will be false,"I learn something new every day :), removed.",0,0
missing space,fixed,1,1
"I think the test error is because getMaxNumWorkers() can return 0, and in that case you return a transform whose numShards is again 0, which again matches this override (overrides must converge into a state where no transform matches any override anymore).",fixed,0,1
For example `assertThat(example).isEmpty();`.,fixed.,0,0
"doesn't add any value. I'd rather just leave at is it, but do `action: function (name) {` for coding style's sake","O, I have not seen @addaleax  comment)",1,1
Why this change?,It included `BOM` characters. I will remove them.,1,1
"I'd prefer using `IllegalArgumentException e = expectThrows(IllegalArgumentException.class, () -> prez.setRelevalntRatingThreshold(-1))` here like we do in many other tests and get rid of the @Rule",Done,0,0
"It would also be good to mention two other new contrib modules, `integrate` and `labeled_tensor`. I'm happy to come up with some appropriate language.

Do we have a standard process for maintaining/updating these notes before we issue the release?",Done.,0,1
"Are those changes in `AsyncDataStream.scala` somewhere covered by the tests? If you comment out their method bodies, does at least one test fails?","I haven't found any tests for `AsyncDataStream.scala` or `AsyncFunction.scala`, I am not sure whether it is missing or unnecessary. What do you think?",1,1
"`defaultDataSourceName` are 4 words, please split it",ok,0,0
"I believe that adding a new method for ""autoShrink"" is not necessary.
also the variable name should be more meaningful.",Do you mean adding the autoShrink parameter directly on the original method?,1,1
"Passing `null` here is not very elegant, but changing this is a bigger change.",I think [a24b645](https://github.com/elastic/elasticsearch/pull/101384/commits/a24b6452f37e6b59fcf227d93ea16ee501c8efa5) should mitigate your concerns here?,1,0
How about we remove the Tabs whatsoever? IMO it does not make sense anymore for a single connector.,I don't know how that happened but I thought I had already removed them. Good catch!,0,1
"The docker `demo` images should be removed, but there are many other user image will depends on `devel` images. The devel means the whole dependencies to build `Paddle` are installed.

User will use `devel` image to `rebuild` Paddle as `debug mode`, use different `cudnn`, etc. It is very useful image and please do not remove it.",OK,0,0
"```suggestion
                _LOGGER.warning(""Failed to send heartbeat to %s: %s"", host, err)
```
I suppose it is something a user would like to know.","This can flood the logs when the internet is unavailable, are you sure?",1,1
Maybe `getExistedPath()` would be clearer with a name like `getExtractedPath()` ?,I named such because WW-5011 is because url.getPath doesn't exist always. What does Extracted refer?,1,1
"This is kind of fragile. (What if we change some heuristic and all of these are 0.) Can you make the test a bit more specific? Also ideally you'd verify that the handler runs as early as possible, and not at the end of the function. So that if there's a timing difference, it is visible.",I added expectations after each dispatchEvent and put specific numbers in,1,1
"Should we call it ""Facebook Ads"" instead","Good question. I took it from ""extra-packages"" reference. But when you look at the API it is actually called 'Facebook Marketing API"" - but indeed this one uses the ""Ads"" part. I will replace it here but leave `Facebook Social` in ""extras"" as there might be more operators added in the future - both marketing and non-marketing ones.",1,1
"Would not get the point of this method, a bit of tricky.","Each time it's called, the method generates a new file for a batch of data.  Only two batches are considered.  Any suggestions to make it better?",1,1
s/merge strategy/payload class/g,done,1,1
What's the right name for this? StochasticSampling vs SampleFromDistribution vs ???,SoftQ is a sub-class of StochasticSampling (adding the temp as convenience).,1,1
can you please comment on these reformatted blocks to highlight what has actually changed,Changed.,0,0
typo,typo,0,0
"Shouldn't this come from `#include ""media/blink/multibuffer_data_source.h""`?","Ohh right okay, that makes sense. Sorry, I'm a C++ rookie. I'll fix this.",1,1
"Can we rename this parameter to `state` in order to match other modules ?
```
present == enable
absent == disable 
```",Ok. I changed it to state: enabled/disabled. Thx for pointing that out.,0,1
"Seems we have the same log messages as in checkApiConfigSourceSubscriptionBackingCluster. Can we refactor? Alternatively, can we expect checkApiConfigSourceSubscriptionBackingCluster to always be called before we get here and just put in some ASSERTs?",Sure.,1,1
same question: it doesn't seem to be necessary?,same as above,1,1
I believe in other places we denote private methods with one `_`,Done,1,1
"SeriesInfo.to_buffer doesn't have a docstring. so this doesn't render.

```
>>> help(pd.Series.info)
Help on function info in module pandas.core.series:

info(self, verbose: Union[bool, NoneType] = None, buf: Union[IO[str], NoneType] = None, max_cols: Union[int, NoneType] = N
one, memory_usage: Union[bool, str, NoneType] = None, null_counts: Union[bool, NoneType] = None) -> None

>>>
```

and wouldn't have memory_usage, max_cols, and null_counts parameters anyway?

(as an aside there appears to be a few issues with DataFrame.info docstring on master, such as alignment of console output and rogue data parameter. Not sure if always like this or from recent refactors, so if you get time, it would be great if can you check that out)",Regarding ``null_counts`` - does it mean that we do not need series info without non-null counts?,1,1
This check had to be moved here in order to ensure `cb` is invoked on `finish` even if already ending.,This check had to be moved here in order to ensure `cb` is invoked on `finish` even if already ending.,0,0
"Here, you can not omit the third parameter for putMsg (since the PROCESS_DEFINE_NOT_EXIST need an additional parameter to replace {0}

Here you need to change to

putMsg(result, Status.PROCESS_DEFINE_NOT_EXIST, defineId);",done,0,0
