project,pull,author,reviewer,CCR,Prediction,Merge
flink,14292,sjwiesman,alpinegizmo,"```suggestion
Versioned tables are defined implicitly for any tables whose underlying sources or formats directly define changelogs. Examples include the [upsert Kafka]({% link dev/table/connectors/upsert-kafka.md %}) source as well as database changelog formats such as [debezium]({% link dev/table/connectors/formats/debezium.md %}) and [canal]({% link dev/table/connectors/formats/canal.md %}). As discussed above, the only additional requirement is the `CREATE` table statement must contain a primary key and an event-time attribute. 
```",0,True
cassandra-java-driver,1172,GregBestland,olim7t,"I think `onAbort` might be a better name for this, and it would be worth adding a javadoc comment to explain that this is what happens when the policy has decided to stop reconnecting.",1,False
flink,14312,aljoscha,kl0u,"Now we can remove this and make the constructor `public`, right?",1,False
hive,3433,scarlin-cloudera,kasakrisz,"Java String accepts int parameters only
https://docs.oracle.com/javase/8/docs/api/java/lang/String.html#substring-int-int-

How about creating a common `evaluate` which receives int parameters and both the `LongWritable` and `IntWritable` version call it?

```
public Text evaluate(Text t, IntWritable pos, IntWritable len) {

    if ((t == null) || (pos == null) || (len == null)) {
      return null;
    }

   return evaluate(t, pos.get(), len.get());
}
  
public Text evaluate(Text t, LongWritable pos, LongWritable len) {

    if ((t == null) || (pos == null) || (len == null)) {
      return null;
    }

   // Handle long int overflow
   return evaluate(t, (int)pos.get(), (int)len.get());
}

private Text evaluate(Text t, int pos, int len) {
...
}
```",0,True
incubator-kie-optaplanner,1892,rsynek,yurloc,"```suggestion
     * {@link ProblemChange#doChange(Object, ProblemChangeDirector)} method implementation.
```",0,False
linkis,4784,lenoxzhao,peacewong,can use props value?,1,True
iotdb,826,SilverNarcissus,qiaojialin,"```suggestion
1. 如果该节点是叶子节点，则直接返回节点中包含的路径，进入步骤2.
```",1,True
beam,3386,app-tarush,takidau,Make this a member variable that's automatically initialized for each test case?,1,False
ozone,385,cxorm,nandakumar131,We should also handle cases where the `startKey` doesn't match the given prefix.,1,True
parquet-mr,808,shangxinli,gszadovszky,"I don't know if I overlooked this one before or it is a new change. The module `parquet-column` should not depend on hadoop. That's why we have the separate module `parquet-hadoop`. We already have struggling issues that parquet-mr cannot be used without hadoop, let's not make it worse.",1,True
gobblin,3552,umustafi,ZihanLi58,I don't see the SessionManager actually throwing anything in the constructor so the try/catch is redundant,1,True
flink,18692,XComp,zentol,"> alexkirnsu/minio-testcontainer

This is unlicensed code and can thus not be copied without explicit permission by the owner.",0,True
druid,13485,techdocsmith,317brian,This list isn't parallel. The 3rd item starts w/ a verb,1,False
beam,3686,arnaudfnr,lukecwik,"<!--new_thread; commit:6bf51fdf6afe6f389415792f335dd08adf9fa85a; resolved:0-->
Use `<a>` tags for links instead of specifying them as plain text.",0,False
kafka,4636,mjsax,bbejeck,could this be changed to `usedSubscriptionMetadataVersion > receivedAssignmentMetadataVersion && receivedAssignmentMetadataVersion >= 3`,1,True
ignite,2061,voipp,daradurvs,Missed description.,1,False
fineract,2759,taskain7,galovics,"I feel like we should do some abstraction here. 

Obviously the majority of this code is generic:
- Creating the GSON serializer
- Reading the custom job parameter from the DB
- deserializing it

The rest is specific to the Loan COB, i.e. that the business date parameter is used. I think other jobs could benefit from making an abstract class from this an have specializations for jobs.

Thoughts?",1,True
pulsar,4028,srkukarni,sijie,same comment as above. why not just return `SchemaType` directly?,1,False
flink,8837,aloyszhang,wuchong,附带的连接器？,1,False
flink,12774,kakaroto928,wuchong,Do not translate.,0,False
gobblin,3158,Will-Lo,sv2000,Can all of this be moved inside the handler?,1,False
shardingsphere,3205,xiyelife,terrymanu,please remove useless blank line,0,True
druid,7154,clintropolis,leventov,"Suggested ""decommissioningNodes""",1,True
shardingsphere,13179,lwclover,TeslaCN,How about defining `0` and the less as no limitation?,1,True
shardingsphere,3260,tcmtang,terrymanu,Please do not change original indent,0,False
beam,25610,TSultanov,alexeyinkin,"Are there auto-formatters or at least guides? This looks random. Maybe at least add a trailing comma?
```suggestion
             'GIT_TIMESTAMP': getGitCommitTimestamp(),
  ])
```",1,True
flink,10763,wuchong,dawidwys,"nit: this comment is a bit misleading don't you think? It depends on the subsequent query what will be the view used for.
Anyway it does not provide any extra info therefore personally I'm always against adding redundant comments as they easily go out of sync.",1,True
beam,12930,InigoSJ,boyuanzz,It seems like constructing `ReadFromPubSub` doesn't ask for `with_context`. Why do we add a new one here?,1,True
geode,6525,luissson,DonalEvans,"It might be good to also assert something about the value returned from zadd here and elsewhere in this test, since making sure we return the correct value after doing an add is important, not just making sure that the size of the set is what we expect it to be.",1,True
beam,9233,y1chi,chamikaramj,"Is this an invalid state or it is just that the size cannot be determined ? If latter, you can just return None: https://github.com/apache/beam/blob/master/sdks/python/apache_beam/io/iobase.py#L134",1,True
flink,12577,godfreyhe,leonardBang,"```suggestion
* 当 `TableEnvironment.executeSql()` 被调用时。该方法是用来执行一个 SQL 语句，一旦该方法被调用， SQL 语句立即被翻译。
```
Add a comma",0,False
storm,2583,ghajos,srdo,"Nitpick: Consider renaming to something like ""checkMapEquality"", since this method checks map equality and returns a boolean indicating equality. ",0,True
hudi,400,n3nash,bvaradar,"Any specific reason why SparkContext needs to be passed for HoodieTable construction. As there are some file-system view level APIs exposed by Hoodie Table which do not need SparkContext, I am wondering if this can be avoided.",1,True
flink,20140,qingwei91,libenchao,useless `(` `)`,1,False
dubbo,12039,aamingaa,EarthChen,dont change this,1,True
iotdb,4502,jun0315,SteveYurongSu,"```suggestion
                  updateCoreSize, ThreadName.INSERT_SERVICE.getName());
```",0,True
flink,11542,jerry-024,GJL,"I find it strange that `JobManagerStdoutFileHandler` also knows about the location of the regular log file (i.e., `LogFileLocation#logFile`). Moreover, we are introducing a class hierarchy without adding behavior, i.e., `JobManagerStdoutFileHandler` and `JobManagerLogFileHandler` are doing the same thing (serving a (log) file). 

I would propose to drop `JobManagerStdoutFileHandler` and add a `File` field to `JobManagerLogFileHandler`. 
`JobManagerCustomLogHandler` should have a log dir field. 

What do you think?
",1,False
flink,9451,zentol,carp84,"Minor: hive->hbase, and suggest to mark as ""currently doesn't support Java 11"" due to HBASE-21110 is ongoing.",0,True
bookkeeper,643,eolivelli,sijie,I'd prefer removing `TODO` here. You can add a comment about why using `INVALID_ENTRY_ID` rather than `TODO: see next commits`.,0,False
flink,9909,JingsongLi,KurtYoung,same to `BatchExecSinkRule`,0,False
nifi,6844,lizhizhou,exceptionfactory,"```suggestion
        if (context.hasIncomingConnection()) {
```",1,False
flink,16962,RocMarshal,Airblader,"Should we really support types if we cannot map them properly? If we have a shortcoming in the type system, we should be collecting that to improve it.",1,False
dubbo,4195,danielamorais,ralf0131,"I think the logic of this method should be done in a dedicated thread, which will periodically update the cpu usage if necessary. 
What could be done here is just get the cpu.user data and put it into attachment.
I also think it is no necessary to create CpuUsageGauge, just use com.alibaba.metrics.os.linux.CpuUsageGaugeSet, it has done almost everything for you. You just need to make sure the com.alibaba.metrics.CachedMetricSet#refreshIfNecessary is called periodically so that you can always get the latest data.
",0,False
pulsar,9822,Anonymitaet,Huanli-Meng,"```suggestion
     * false (no automatic batching).</i>
```",0,True
beam,23289,shub-kris,damccorm,"```suggestion
    author=""Apache Software Foundation'"",
    author_email=""dev@beam.apache.org"",
```

By policy these should point to the Apache's contact info. Plus, that way people will reach out to dev@beam.apache.org instead of to you directly",0,True
dolphinscheduler,14833,weixiaonan1,ruanwenjun,"You said you need to `ensures that messages are neither lost nor unordered` but this is asyn send, how can you ensure the message doesn't lost.",1,False
drill,1977,dobesv,paul-rogers,"Nit: best to use a name that flows in an if-statement. Maybe `isPasswordValid`. So:

```
if (isPasswordValid(...)) {
  // Welcome!
} else {
  // You're outta here!
}
```",0,False
dolphinscheduler,8133,ppjmiao,songjianet,e.key === 'Enter' && onSearchValOk(),0,True
flink,11983,rmetzger,zentol,"```suggestion
```",0,False
parquet-mr,764,shangxinli,gszadovszky,Why is this required?,1,False
pulsar,14903,wangjialing218,Jason918,This will very likely introduces a flaky test.,1,True
skywalking,223,ascrutae,peng-yongsheng,"not belong to NodeRef, create Instance class and belong to it",1,False
flink,5015,walterddr,twalthr,`Maps...`,1,False
flink,12966,fsk119,godfreyhe,please copy the comments from `PushPartitionIntoLegacyTableSourceScanRule#adjustPartitionPredicate`,0,True
ignite,6696,nizhikov,agura,That is why I suggested separating `MetricRegistry` from some helper class for metrics creation. It's not registry responsibility for getting config from metastorage. But ok. May be split this later.,0,True
flink,6218,twalthr,pnowojski,"while you are at it, could you expand the name to `outputStream` or `objectOutputStream`?",1,True
flink,7692,StefanRRichter,zentol,test dependency,1,True
incubator-hugegraph,1453,imbajin,javeme,ditto,0,True
geode,1896,jinmeiliao,pdxrunner,"The naming of these dummy commands and the corresponding results is confusing. For instance, I think renaming `COMMAND3_SUCCESS` to `OFFLINE_COMMAND2_SUCCESS` is more meaningful. SImilar for the other two dummy commands.",1,True
gobblin,3385,vikrambohra,sv2000,"If this test case depends on another test case, we should use ""dependsOnMethod"", for better readability.",1,True
hudi,2260,Karl-WangSK,wangxianghu,break the second `with` to a new line?,1,True
dolphinscheduler,14833,weixiaonan1,songjianet,type SetupContext,1,False
flink,5888,yuqi1129,zentol,this change is unnecessary if the above change is reverted,1,False
pulsar,5791,zymap,Anonymitaet,Delete and Move contents,0,False
hadoop,4907,anmolanmol1234,steveloughran,Can you add some more detail in the two comments here to make it more clear why we treat the `+ 1` case differently?,1,False
inlong,2556,KevinWen007,ifndef-SleePy,Why it can not be an empty array? Is it right to construct vector from column content?,1,True
pulsar,4435,codelipenghui,sijie,`peek` sounds like an action to retrieve a key from a queue. why not just call it `getKey`?,1,True
flink,22996,zentol,XComp,"```suggestion
     *     null is given, then a Pekko config for local actor system will be returned
```
nit",0,True
phoenix,550,gokceni,swaroopak,"nit: Could you please rename this to tenantConn, makes it more readable. ",0,False
geode,5152,jhutchison,dschneider-pivotal,"change ""this associations"" to one of the following ""these associations"" or ""this association"".",1,True
nifi,2245,mattyb149,andrewmlim,Need a period (.) after library to be consistent.,1,False
nifi,3966,tpalfy,turcsanyip,isEmpty() method of this class could be used.,1,False
druid,3091,sirpkt,leventov,"Suspicious, it was about `Strings.isNullOrEmpty(keyColumn)` and `Strings.isNullOrEmpty(valueColumn)` but now it's only about `Strings.isNullOrEmpty(valueColumn)`
",0,False
incubator-hugegraph,306,zhoney,javeme,"set default 10000, and add const DEFAULT_DEGREE to class HugeTraverser",0,True
geode,6495,nabarunnag,DonalEvans,This could be called `confirmKnownOptions` since these aren't really subcommands.,1,True
beam,5542,cademarkegard,swegner,Can you add a brief comment describing why this suppression is safe?,1,True
flink,10409,Li-Aihua,klion26,do you mind adding some doc for function?,1,False
fineract,1811,xurror,BLasan,Here too,0,False
flink,18573,slinkydeveloper,twalthr,too generic name: `loadPlan`,1,False
metron,1490,merrimanr,nickwallen,Would it make sense to create a separate profile called `HDP-3.1` (or similar) that is active by default that contains the new build versions?,1,False
geode,7022,jdeppe-pivotal,dschneider-pivotal,"Add a system property that defaults to false. If it is true then the old behavior will be restored. It is possible an existing customer will be dependent on the old ""buggy"" behavior.",1,True
cassandra-java-driver,1545,hnlzq163,adutra,"```suggestion
    if (config.getBoolean(DefaultDriverOption.PREPARED_CACHE_WEAK_VALUES, true)) {
      LOG.debug(""[{}] Prepared statements cache configured to use weak values"", logPrefix);
      this.repreparePayloads = new MapMaker().weakValues().makeMap();
    } else {
      LOG.debug(""[{}] Prepared statements cache configured to use strong values"", logPrefix);
      this.repreparePayloads = new MapMaker().makeMap();
    }
```",0,False
nifi,7344,briansolo1985,bejancsaba,What do you think about adding usage information to the readme as well?,1,False
flink,2976,chermenin,twalthr,Can you add `GROUPING()` and `GROUPING_ID()` here too. Just to make sure that we don't compare two wrong results in the tests below.,0,False
flink,10124,xintongsong,azagrebin,Let's also mention that it will be part of jvm direct memory limit,1,False
shardingsphere,24485,azexcy,sandynz,It should return `new MySQLBinaryString(bytes)`,0,True
guacamole-client,681,mike-jumper,necouchman,Type annotations here would make this easier to understand. (And match other type classes 😄),0,True
beam,10546,vmarquez,iemejia,"For maintenance coherence in DoFn based IOs we follow a pattern where the first part Creates the required object to query (the one I mentioned above), the second splits the query into multiples queries for each partition via a `SplitFn extends DoFn` and then with the result of such splits we do a read equivalent to current `QueryFn`. Can you refactor this segment to behave like that (with the query object I mentioned above).",0,True
flink,4368,pnowojski,aljoscha,"In a function that has `initializeState()` you can also put this code in there because `initializeState()` will always be called. Having both `open()` and `initializeState()` is tricky because of the ordering in which those two are called (this has lead to problems in the past when people where changing code and not completely aware of the ordering). For the record, currently the ordering is: 1) `initializeState()` 2) `open()`.",1,False
eventmesh,431,Roc-00,xwm1992,return code may be more appropriate,1,True
druid,14590,kfaraz,writer-jill,"```suggestion
When `smartSegmentLoading` is disabled, Druid uses the configured values of these properties.
```",0,True
hudi,331,n3nash,vinothchandar,nit: rename to headerMap or headers,0,True
flink,22330,TanYuxin-tyx,xintongsong,Dependency should be injected.,1,False
geode,7348,yozaner1324,rhoughton-pivot,"`geode-lucene` creates `LuceneIndexDestroyedException`, which extends `GemFireException`.  This requires `geode-core` to remain an `api` dependency.",0,False
hadoop,4209,tomscut,xkrogen,I don't think we specifically recommend one or the other? They are just different ways to configure it.,1,True
pinot,7405,atris,richardstartin,"This benchmark would be better if you modelled the regexes as a parameter:
```java
@Param({""q.[aeiou]c.*"", "".*a"", ...})
String regex;
```

For a few reasons: 
1. You have less benchmark code this way
2. This prevents constant folding interfering with benchmark execution (this one is a big deal and why `@Param` exists)
3. You can see the regex in the JMH output which makes the results easier to interpret for others",0,True
hadoop,3340,bshashikant,jianghuazhu,"It might be better to use concrete classes instead of ""*"".",1,True
flink,21621,wanglijie95,lindong28,Do you think we need to add `hasKeyContext1()` and `hasKeyContext2()` to  `StateBootstrapWrapperOperator`?,1,False
gobblin,2622,vikrambohra,zxcware,"List<String> keys and check empty should be good enough, no need Optional",1,False
flink,6594,Xeli,yanghua,same as above,0,False
geode,873,galen-pivotal,PivotalSarge,Will <strong></strong> or <b></b> work here instead of SHOUTY CAPS?,1,False
iotdb,1100,samperson1997,qiaojialin,"add a method getAllTimeseriesMetadata(), seek and IO all timeseriesMetadata once.",0,True
parquet-mr,769,shangxinli,gszadovszky,"```suggestion
 *                     .config(""parquet.crypto.factory.class"",
```",0,True
incubator-kie-drools,5536,umutsahin,porcelli,"change author to default given we have now:
https://github.com/apache/incubator-kie-benchmarks/tree/apache_migration
and 
https://github.com/apache/incubator-kie-benchmarks/pull/260",0,False
gobblin,3091,ZihanLi58,sv2000,It is not immediately clear why we should not update table schema if the latest schema from schema registry does not match the writer schema. Am I correct in understanding that we are delaying the schema registration in the expectation that eventually the writer schema will match the latest schema and the table schema is updated then?,1,False
flink,11615,KarmaGYZ,xintongsong,"We should also mention how many slots trying to allocate.
E.g., say `numSlotsPerWorker` is 3, you might see a log as following.
> Could not allocate more slots since the number of slots 9 already reach maximum 10.

This could be confusing because 9 is not reaching 10.",1,False
hive,1280,abstractdog,pgaref,Combine in a single loop?,1,False
kafka,3745,ConcurrencyPractitioner,mjsax,you don't use `windowedDeserializer ` or `inner` below -- can be removed IMHO,1,False
skywalking,1929,Liu-XinYuan,wu-sheng,"Please add the UUID to log in `org.apache.skywalking.oap.server.receiver.register.provider.handler.v6.grpc.ServiceInstancePingServiceHandler#L61`
>             logger.warn(""Can't found service by service instance id from cache, service instance id is: {}"", serviceInstanceId);
",0,False
pulsar,3844,Jennifer88huang-zz,Jennifer88huang-zz,"I think you should use `<tenant>/<namespace>/<connector-name>-<DEFAULT_HISTORY_TOPIC>`. 

Image following use case, I have 2 database servers and I submitted 2 connectors. If people doesn't set the history topic name, these 2 connectors would eventually share the same history topic, which can cause corruption. ",1,False
samza,97,fredji97,prateekm,Prefer restoring newline.,1,False
cassandra-java-driver,1178,emerkle826,adutra,"Usually when system properties need to be modified, we use the special test group `isolated`.",1,True
flink,18189,XComp,dmvk,"as @autophagy has pointed out, do we want to return a set here instead, to be explicit about the no-duplicate property of the returned value?",1,True
ignite,6847,alex-plekhanov,ptupitsyn,"So we need to verify that for Replicated cache all requests go to a single (default) node, because affinity awareness does not matter. Let's state this in a comment for clarity.",1,False
iotdb,9014,liuminghui233,JackieTien97,I think it's better to add a method like `hasNullValue` in this class instead of doing the judgement outside.,1,True
fineract,2385,taskain7,galovics,Only the batch manager here too.,0,True
ozone,886,sadanand48,adoroszlai,"`Execute` checks the return code of the command, so I think this should be enough to verify that the file exists:

```
                    Execute             test -f ${result}
```

Better yet, there is a Robot keyword for the same: [`File Should Exist`](http://robotframework.org/robotframework/3.0.2/libraries/OperatingSystem.html#File%20Should%20Exist)

```suggestion
                    File Should Exist             ${result}
```",0,True
accumulo,159,milleruntime,ctubbsii,"Careful about suppressed exceptions here, especially when using multiple resources in a single try-with-resources, and mixing try-with-resources with a finally block. Any exception thrown in the finally block will suppress try-with-resources, and exception from closing one resource may result in others being suppressed.

How do we want to handle suppressed exceptions? Do we assume they've already been logged earlier, or do we try to handle them here? Wrapping `Exception e` with `IOException` may also make it more difficult for the caller to track the suppressed exceptions attached to `e`, which is now in the `getCause()` of the `IOException`.

Also, statsCount might be stale (or uninitialized) in the finally block if an exception occurs in the try block.
",1,False
samza,295,srinipunuru,nickpan47,need '' marks.,1,False
calcite,3093,olivrlee,olivrlee,could you combine with the logic for <CAST>?,1,False
gobblin,3648,homatthew,vikrambohra,Can we call the exact constructor? invoke longest constructor is not very clean,1,True
druid,13938,vtlim,paul-rogers,Lets make this final and private ?,1,True
flink,13306,meetjunsu,JingsongLi,"You can create a method: `convertIsNull`, and:
`.put(BuiltInFunctionDefinitions.IS_NULL, OrcFilters::convertIsNull`.
Others can be the same.",0,True
beam,9758,jfarr,lukecwik,"```suggestion
    private PublishResultCoder(
```",0,True
hive,120,b-slim,jcamachor,"change author to default given we have now:
https://github.com/apache/incubator-kie-benchmarks/tree/apache_migration
and 
https://github.com/apache/incubator-kie-benchmarks/pull/260",0,False
nifi,733,gresockj,mattyb149,"The retrieved ID is only used if the target is content, perhaps it should be added as an attribute when the target is attributes?
",1,False
samza,196,shanthoosh,prateekm,What is this doing? This method should exist.,1,False
incubator-hugegraph,433,zhoney,javeme,skipDegree > 0L,0,True
pinot,6667,npawar,mcvsubbu,"Perhaps we should make a note that before this upgrade, installations should upgrade to at least the release that has https://github.com/apache/incubator-pinot/issues/5359 (Identify the actual release in the PR comments). An installation that has older versions than pr 5359 may break during upgrade.",0,True
incubator-hugegraph,456,Linary,javeme,"prefer define Map<HugeKeys, int>",0,True
beam,24957,nausharipov,alexeyinkin,"Second thoughts, this is too much of investment into boolean. I suggest making an `enum FeedbackRating` with `positive` and `negative`.",1,True
beam,8941,kkucharc,kamilwu,ditto.,0,True
hudi,8385,Mulavar,Mulavar,thank for updating this.,0,True
hive,329,maheshk114,sankarh,The initial value should be 1.,1,False
beam,15775,dmitriikuzinepam,tvalentyn,"```suggestion
          # Accept both '\r\n' and '\n' as a default delimiter.
```
",0,False
nifi,5332,MikeThomsen,exceptionfactory,This can be removed.,0,False
druid,12569,vtlim,techdocsmith,"```suggestion
Compaction tasks fail when higher priority tasks cause Druid to revoke their locks. By default, realtime tasks like ingestion have a higher priority than compaction tasks. Frequent conflicts between compaction tasks and realtime tasks can cause the Coordinator's automatic compaction to hang.
```
If you keep ""Therefore"" I think it needs a comma, but I think it reads OK without it.",1,True
geode,6232,pivotal-eshu,DonalEvans,There is quite a lot of duplicate code in the tests in this class. Would it be possible to move the cluster startup and region creation to a `@Before` method?,1,True
datasketches-java,470,AlexanderSaydakov,github-advanced-security[bot],"## Missing catch of NumberFormatException

Potential uncaught 'java.lang.NumberFormatException'.

[Show more details](https://github.com/apache/datasketches-java/security/code-scanning/636)",0,True
iotdb,884,SailVR,samperson1997,"Here a figure is missed. Link: https://user-images.githubusercontent.com/13203019/51578237-cd33f300-1ef7-11e9-9aef-2a717c56ab54.jpg
这里遗漏了一张图片",0,True
flink,6107,dawidwys,zentol,can be final.,0,False
shardingsphere,22029,FlyingZC,strongduanmu,Please rename proxySQLExecutor to result.,0,True
avro,200,epkanol,nandorKollar,"Looks like 'type' was renamed to 'result', could you please modify the Javadoc accordingly?",1,False
phoenix,1210,richardantal,stoty,"This is now applies to al logs, so we shouldn't call it checkIgnoreQuery**Audit**",0,False
beam,5709,jkff,bsidhom,Could you use `Components.Builder` rather than `Builder` to make it clear what this is? Same applies to other uses.,1,True
shardingsphere-elasticjob,1404,TeslaCN,terrymanu,The result variable should named as `result`,1,True
beam,16325,pavel-avilov,KhaninArtur,"Seems like this test is something internal, let's remove it. It might be not so interesting for Playground users",0,True
incubator-kie-drools,1391,akoufoudakis,etirelli,"Needs to check for errors before returning the value, and in case of success, return only the value of the decision invoked, not the whole DMNResult. E.g.:

```
return FEELFnResult.ofResult(requiredDecisionResult.getContext().get(decisionName));
```

the code above is just a snippet, but the actual code needs to check for nulls, errors, etc.",0,True
druid,5054,jihoonson,drcrallen,same comments as in GroupByQueryQueryToolChest.,0,True
druid,7950,xueyumusic,clintropolis,thanks :+1:,0,True
ratis,188,amaliujia,szetszwo,Sleep for some time before comparing the log.,0,True
zookeeper,1559,ztzg,eolivelli,what's the purpose of the changes to this `close` method? I don't quite get the motivation behind this change.,1,False
geode,4001,bschuchardt,Bill,Simplification! Bravo!,0,False
flink-training,31,alpinegizmo,NicoK,"note sure style-wise, but before this was collapsed into a single line",1,True
ignite,10145,xtern,ptupitsyn,"```suggestion
            return interceptors.Count == 1 ? interceptors[0] : new CompositeServiceCallInterceptor(interceptors);
```",1,True
druid,7792,lml2468,jihoonson,This query result looks incorrect. I think [this](https://github.com/apache/incubator-druid/blob/master/processing/src/main/java/org/apache/druid/query/topn/NumericTopNMetricSpec.java#L108) also needs to be fixed.,1,False
poi,96,sandeeptiwari32,Alain-Bearez,"This is a code smell...

After setting the `parent` on the `childPart`, some method should be called on the `childPart` which would then call the `setWorkbook` method. ",1,False
geode,5567,mivanac,jinmeiliao,"you also don't need to add data and do rebalance. Maybe add a comment in your test making it clear that you are starting a stale locator first (locator 1 shutdown before locator0, and now you are starting locator 1 first), locator 1 won't start properly until a diskstore on locator 0 is revoked",0,True
druid,8809,zhenxiao,leventov,Please make `exec` and `ThreadPoolExecutor` javadoc links,0,False
accumulo,3905,rsingh433,ctubbsii,"I don't think these are needed, since they are already defined above on line 435.",1,True
james-project,1707,hungphan227,Arsnael,"Input validation should be done at the edge of the system. Please do it when parsing QuotaComponent.

Even better: intruduce a dedicated anum to embed this knowledge/",0,True
beam,5407,tweise,lukecwik,Please move this into a shared utility class.,0,True
nifi,3574,natural,alopresto,This method is repeated. I think it can be refactored.,0,False
flink,9801,xintongsong,azagrebin,enum will be more readable for commands,0,False
iotdb,467,EJTTianYu,jt2594838,"""merge"" -> ""file upgrade""",1,True
geode,7857,WeijieEST,albertogpz,I would rename the test case to `testColocationOneNonEvictionRegionReachesLocalMaxMemoryLimit()`,0,True
fineract,1258,maektwain,vorburger,"@maektwain this seems ""suspicious"".. what is this for, why is it needed, what does it change? FYI Gradle upgrades for this project are now automated, see e.g. #1243, so we need a good reason (and I would suggest a separate PR and JIRA issue, instead of doing that as part of this).",1,False
kafka,1906,benstopford,ijuma,"Probably worth including a message like `fail(""Unexpected topic $topic"")` so that when someone updates the test with more topics, they get a useful message.
",0,False
flink,13800,fsk119,wuchong,"Personally, I don't like the current design of the new interface. 
 - it couples the `limit` to the select statement which makes it impossible to inject additional where clause. 
 - dialects need to implement/take care 2 interfaces about limit. 
 - many invokers have to pass an invalid limit. 

In my opinion, a better solution would be separate them, by having a new interface for limit:

```java
String getLimitClause(long limit);
```

And concat the limit caluse with the select statement where needs the limit clause. ",1,True
inlong,7253,Yizhou-Yang,healchow,Why print all data in for-loop?,1,False
druid,4491,b-slim,leventov,Please arrange similar methods together,0,True
dolphinscheduler,14833,weixiaonan1,ruanwenjun,This config will make confusion.,1,False
nifi,7388,timeabarna,exceptionfactory,"This does not seem like a good way to catch unsupported operating systems, recommend re-evaluating the approach to avoid attempting to run a command that will fail on an unknown OS.",1,False
geode,7513,BalaKaza,DonalEvans,"This should be ""rpoplpush_isTransactional""",1,True
incubator-kie-drools,4905,gitgabrio,tarilabs,"@baldimir I'm not sure I understood this one; was this discussed in ""more recent"" TCK or RTF meetings?

IIRC, FEEL:date ~never receive a tz and it's always at midnight.

Then I check 1.4 and:

> Where necessary, including the valuedt function (see 10.3.2.3.6), a date value is considered to be equivalent to a date time value in which the time of day is UTC midnight (00:00:00).

So 2021-01-01 plus 1h I would expect it would land into the same day, ie 1am in the morning of that day (2021-01-01, not the 2nd)? 🤔",1,True
hbase,3666,wchevreuil,Apache9,nit: space after '//',0,True
flink,13193,hequn8128,morsapaes,"```suggestion
t_env.sql_query(""SELECT a FROM source_table"") \
```",0,False
shiro,824,vasumakwana,lprimak,Call static methods directly as opposed via instance (which is not needed),1,False
pulsar,9161,sijia-w,freeznet,Get the inactive topic policies on a topic,1,False
flink,22176,huwh,reswqa,"```suggestion
 class LeastUtilizationSlotMatchingStrategyTest {
```",0,False
druid,11245,techdocsmith,2bethere,I think you should clarify if this is inclusive (<30 or <=30),1,True
