project,pullNumber,CCR,author,merged
parquet-mr,808,"I don't know if I overlooked this one before or it is a new change. The module `parquet-column` should not depend on hadoop. That's why we have the separate module `parquet-hadoop`. We already have struggling issues that parquet-mr cannot be used without hadoop, let's not make it worse.",shangxinli,True
gobblin,3552,I don't see the SessionManager actually throwing anything in the constructor so the try/catch is redundant,umustafi,True
flink,18692,"> alexkirnsu/minio-testcontainer

This is unlicensed code and can thus not be copied without explicit permission by the owner.",XComp,True
druid,13485,This list isn't parallel. The 3rd item starts w/ a verb,techdocsmith,False
beam,3686,"<!--new_thread; commit:6bf51fdf6afe6f389415792f335dd08adf9fa85a; resolved:0-->
Use `<a>` tags for links instead of specifying them as plain text.",arnaudfnr,False
kafka,4636,could this be changed to `usedSubscriptionMetadataVersion > receivedAssignmentMetadataVersion && receivedAssignmentMetadataVersion >= 3`,mjsax,True
ignite,2061,Missed description.,voipp,False
fineract,2759,"I feel like we should do some abstraction here. 

Obviously the majority of this code is generic:
- Creating the GSON serializer
- Reading the custom job parameter from the DB
- deserializing it

The rest is specific to the Loan COB, i.e. that the business date parameter is used. I think other jobs could benefit from making an abstract class from this an have specializations for jobs.

Thoughts?",taskain7,True
pulsar,4028,same comment as above. why not just return `SchemaType` directly?,srkukarni,False
flink,8837,附带的连接器？,aloyszhang,False
flink,12774,Do not translate.,kakaroto928,False
gobblin,3158,Can all of this be moved inside the handler?,Will-Lo,False
shardingsphere,3205,please remove useless blank line,xiyelife,True
druid,7154,"Suggested ""decommissioningNodes""",clintropolis,True
shardingsphere,13179,How about defining `0` and the less as no limitation?,lwclover,True
shardingsphere,3260,Please do not change original indent,tcmtang,False
beam,25610,"Are there auto-formatters or at least guides? This looks random. Maybe at least add a trailing comma?
```suggestion
             'GIT_TIMESTAMP': getGitCommitTimestamp(),
  ])
```",TSultanov,True
flink,10763,"nit: this comment is a bit misleading don't you think? It depends on the subsequent query what will be the view used for.
Anyway it does not provide any extra info therefore personally I'm always against adding redundant comments as they easily go out of sync.",wuchong,True
beam,12930,It seems like constructing `ReadFromPubSub` doesn't ask for `with_context`. Why do we add a new one here?,InigoSJ,True
geode,6525,"It might be good to also assert something about the value returned from zadd here and elsewhere in this test, since making sure we return the correct value after doing an add is important, not just making sure that the size of the set is what we expect it to be.",luissson,True
beam,9233,"Is this an invalid state or it is just that the size cannot be determined ? If latter, you can just return None: https://github.com/apache/beam/blob/master/sdks/python/apache_beam/io/iobase.py#L134",y1chi,True
flink,12577,"```suggestion
* 当 `TableEnvironment.executeSql()` 被调用时。该方法是用来执行一个 SQL 语句，一旦该方法被调用， SQL 语句立即被翻译。
```
Add a comma",godfreyhe,False
storm,2583,"Nitpick: Consider renaming to something like ""checkMapEquality"", since this method checks map equality and returns a boolean indicating equality. ",ghajos,True
hudi,400,"Any specific reason why SparkContext needs to be passed for HoodieTable construction. As there are some file-system view level APIs exposed by Hoodie Table which do not need SparkContext, I am wondering if this can be avoided.",n3nash,True
flink,20140,useless `(` `)`,qingwei91,False
dubbo,12039,dont change this,aamingaa,True
iotdb,4502,"```suggestion
                  updateCoreSize, ThreadName.INSERT_SERVICE.getName());
```",jun0315,True
flink,11542,"I find it strange that `JobManagerStdoutFileHandler` also knows about the location of the regular log file (i.e., `LogFileLocation#logFile`). Moreover, we are introducing a class hierarchy without adding behavior, i.e., `JobManagerStdoutFileHandler` and `JobManagerLogFileHandler` are doing the same thing (serving a (log) file). 

I would propose to drop `JobManagerStdoutFileHandler` and add a `File` field to `JobManagerLogFileHandler`. 
`JobManagerCustomLogHandler` should have a log dir field. 

What do you think?
",jerry-024,False
flink,9451,"Minor: hive->hbase, and suggest to mark as ""currently doesn't support Java 11"" due to HBASE-21110 is ongoing.",zentol,True
bookkeeper,643,I'd prefer removing `TODO` here. You can add a comment about why using `INVALID_ENTRY_ID` rather than `TODO: see next commits`.,eolivelli,False
flink,9909,same to `BatchExecSinkRule`,JingsongLi,False
nifi,6844,"```suggestion
        if (context.hasIncomingConnection()) {
```",lizhizhou,False
flink,16962,"Should we really support types if we cannot map them properly? If we have a shortcoming in the type system, we should be collecting that to improve it.",RocMarshal,False
dubbo,4195,"I think the logic of this method should be done in a dedicated thread, which will periodically update the cpu usage if necessary. 
What could be done here is just get the cpu.user data and put it into attachment.
I also think it is no necessary to create CpuUsageGauge, just use com.alibaba.metrics.os.linux.CpuUsageGaugeSet, it has done almost everything for you. You just need to make sure the com.alibaba.metrics.CachedMetricSet#refreshIfNecessary is called periodically so that you can always get the latest data.
",danielamorais,False
pulsar,9822,"```suggestion
     * false (no automatic batching).</i>
```",Anonymitaet,True
beam,23289,"```suggestion
    author=""Apache Software Foundation'"",
    author_email=""dev@beam.apache.org"",
```

By policy these should point to the Apache's contact info. Plus, that way people will reach out to dev@beam.apache.org instead of to you directly",shub-kris,True
dolphinscheduler,14833,"You said you need to `ensures that messages are neither lost nor unordered` but this is asyn send, how can you ensure the message doesn't lost.",weixiaonan1,False
drill,1977,"Nit: best to use a name that flows in an if-statement. Maybe `isPasswordValid`. So:

```
if (isPasswordValid(...)) {
  // Welcome!
} else {
  // You're outta here!
}
```",dobesv,False
dolphinscheduler,8133,e.key === 'Enter' && onSearchValOk(),ppjmiao,True
flink,11983,"```suggestion
```",rmetzger,False
parquet-mr,764,Why is this required?,shangxinli,False
pulsar,14903,This will very likely introduces a flaky test.,wangjialing218,True
skywalking,223,"not belong to NodeRef, create Instance class and belong to it",ascrutae,False
flink,5015,`Maps...`,walterddr,False
flink,12966,please copy the comments from `PushPartitionIntoLegacyTableSourceScanRule#adjustPartitionPredicate`,fsk119,True
ignite,6696,That is why I suggested separating `MetricRegistry` from some helper class for metrics creation. It's not registry responsibility for getting config from metastorage. But ok. May be split this later.,nizhikov,True
flink,6218,"while you are at it, could you expand the name to `outputStream` or `objectOutputStream`?",twalthr,True
flink,7692,test dependency,StefanRRichter,True
incubator-hugegraph,1453,ditto,imbajin,True
geode,1896,"The naming of these dummy commands and the corresponding results is confusing. For instance, I think renaming `COMMAND3_SUCCESS` to `OFFLINE_COMMAND2_SUCCESS` is more meaningful. SImilar for the other two dummy commands.",jinmeiliao,True
gobblin,3385,"If this test case depends on another test case, we should use ""dependsOnMethod"", for better readability.",vikrambohra,True
hudi,2260,break the second `with` to a new line?,Karl-WangSK,True
dolphinscheduler,14833,type SetupContext,weixiaonan1,False
flink,5888,this change is unnecessary if the above change is reverted,yuqi1129,False
pulsar,5791,Delete and Move contents,zymap,False
hadoop,4907,Can you add some more detail in the two comments here to make it more clear why we treat the `+ 1` case differently?,anmolanmol1234,False
inlong,2556,Why it can not be an empty array? Is it right to construct vector from column content?,KevinWen007,True
pulsar,4435,`peek` sounds like an action to retrieve a key from a queue. why not just call it `getKey`?,codelipenghui,True
flink,22996,"```suggestion
     *     null is given, then a Pekko config for local actor system will be returned
```
nit",zentol,True
phoenix,550,"nit: Could you please rename this to tenantConn, makes it more readable. ",gokceni,False
geode,5152,"change ""this associations"" to one of the following ""these associations"" or ""this association"".",jhutchison,True
nifi,2245,Need a period (.) after library to be consistent.,mattyb149,False
nifi,3966,isEmpty() method of this class could be used.,tpalfy,False
druid,3091,"Suspicious, it was about `Strings.isNullOrEmpty(keyColumn)` and `Strings.isNullOrEmpty(valueColumn)` but now it's only about `Strings.isNullOrEmpty(valueColumn)`
",sirpkt,False
incubator-hugegraph,306,"set default 10000, and add const DEFAULT_DEGREE to class HugeTraverser",zhoney,True
geode,6495,This could be called `confirmKnownOptions` since these aren't really subcommands.,nabarunnag,True
beam,5542,Can you add a brief comment describing why this suppression is safe?,cademarkegard,True
flink,10409,do you mind adding some doc for function?,Li-Aihua,False
fineract,1811,Here too,xurror,False
flink,18573,too generic name: `loadPlan`,slinkydeveloper,False
metron,1490,Would it make sense to create a separate profile called `HDP-3.1` (or similar) that is active by default that contains the new build versions?,merrimanr,False
geode,7022,"Add a system property that defaults to false. If it is true then the old behavior will be restored. It is possible an existing customer will be dependent on the old ""buggy"" behavior.",jdeppe-pivotal,True
cassandra-java-driver,1545,"```suggestion
    if (config.getBoolean(DefaultDriverOption.PREPARED_CACHE_WEAK_VALUES, true)) {
      LOG.debug(""[{}] Prepared statements cache configured to use weak values"", logPrefix);
      this.repreparePayloads = new MapMaker().weakValues().makeMap();
    } else {
      LOG.debug(""[{}] Prepared statements cache configured to use strong values"", logPrefix);
      this.repreparePayloads = new MapMaker().makeMap();
    }
```",hnlzq163,False
nifi,7344,What do you think about adding usage information to the readme as well?,briansolo1985,False
flink,2976,Can you add `GROUPING()` and `GROUPING_ID()` here too. Just to make sure that we don't compare two wrong results in the tests below.,chermenin,False
flink,10124,Let's also mention that it will be part of jvm direct memory limit,xintongsong,False
shardingsphere,24485,It should return `new MySQLBinaryString(bytes)`,azexcy,True
guacamole-client,681,Type annotations here would make this easier to understand. (And match other type classes 😄),mike-jumper,True
beam,10546,"For maintenance coherence in DoFn based IOs we follow a pattern where the first part Creates the required object to query (the one I mentioned above), the second splits the query into multiples queries for each partition via a `SplitFn extends DoFn` and then with the result of such splits we do a read equivalent to current `QueryFn`. Can you refactor this segment to behave like that (with the query object I mentioned above).",vmarquez,True
flink,4368,"In a function that has `initializeState()` you can also put this code in there because `initializeState()` will always be called. Having both `open()` and `initializeState()` is tricky because of the ordering in which those two are called (this has lead to problems in the past when people where changing code and not completely aware of the ordering). For the record, currently the ordering is: 1) `initializeState()` 2) `open()`.",pnowojski,False
eventmesh,431,return code may be more appropriate,Roc-00,True
druid,14590,"```suggestion
When `smartSegmentLoading` is disabled, Druid uses the configured values of these properties.
```",kfaraz,True
hudi,331,nit: rename to headerMap or headers,n3nash,True
flink,22330,Dependency should be injected.,TanYuxin-tyx,False
geode,7348,"`geode-lucene` creates `LuceneIndexDestroyedException`, which extends `GemFireException`.  This requires `geode-core` to remain an `api` dependency.",yozaner1324,False
hadoop,4209,I don't think we specifically recommend one or the other? They are just different ways to configure it.,tomscut,True
pinot,7405,"This benchmark would be better if you modelled the regexes as a parameter:
```java
@Param({""q.[aeiou]c.*"", "".*a"", ...})
String regex;
```

For a few reasons: 
1. You have less benchmark code this way
2. This prevents constant folding interfering with benchmark execution (this one is a big deal and why `@Param` exists)
3. You can see the regex in the JMH output which makes the results easier to interpret for others",atris,True
hadoop,3340,"It might be better to use concrete classes instead of ""*"".",bshashikant,True
flink,21621,Do you think we need to add `hasKeyContext1()` and `hasKeyContext2()` to  `StateBootstrapWrapperOperator`?,wanglijie95,False
gobblin,2622,"List<String> keys and check empty should be good enough, no need Optional",vikrambohra,False
flink,6594,same as above,Xeli,False
geode,873,Will <strong></strong> or <b></b> work here instead of SHOUTY CAPS?,galen-pivotal,False
iotdb,1100,"add a method getAllTimeseriesMetadata(), seek and IO all timeseriesMetadata once.",samperson1997,True
parquet-mr,769,"```suggestion
 *                     .config(""parquet.crypto.factory.class"",
```",shangxinli,True
incubator-kie-drools,5536,"change author to default given we have now:
https://github.com/apache/incubator-kie-benchmarks/tree/apache_migration
and 
https://github.com/apache/incubator-kie-benchmarks/pull/260",umutsahin,False
gobblin,3091,It is not immediately clear why we should not update table schema if the latest schema from schema registry does not match the writer schema. Am I correct in understanding that we are delaying the schema registration in the expectation that eventually the writer schema will match the latest schema and the table schema is updated then?,ZihanLi58,False
flink,11615,"We should also mention how many slots trying to allocate.
E.g., say `numSlotsPerWorker` is 3, you might see a log as following.
> Could not allocate more slots since the number of slots 9 already reach maximum 10.

This could be confusing because 9 is not reaching 10.",KarmaGYZ,False
hive,1280,Combine in a single loop?,abstractdog,False
kafka,3745,you don't use `windowedDeserializer ` or `inner` below -- can be removed IMHO,ConcurrencyPractitioner,False
skywalking,1929,"Please add the UUID to log in `org.apache.skywalking.oap.server.receiver.register.provider.handler.v6.grpc.ServiceInstancePingServiceHandler#L61`
>             logger.warn(""Can't found service by service instance id from cache, service instance id is: {}"", serviceInstanceId);
",Liu-XinYuan,False
pulsar,3844,"I think you should use `<tenant>/<namespace>/<connector-name>-<DEFAULT_HISTORY_TOPIC>`. 

Image following use case, I have 2 database servers and I submitted 2 connectors. If people doesn't set the history topic name, these 2 connectors would eventually share the same history topic, which can cause corruption. ",Jennifer88huang-zz,False
samza,97,Prefer restoring newline.,fredji97,False
cassandra-java-driver,1178,"Usually when system properties need to be modified, we use the special test group `isolated`.",emerkle826,True
flink,18189,"as @autophagy has pointed out, do we want to return a set here instead, to be explicit about the no-duplicate property of the returned value?",XComp,True
ignite,6847,"So we need to verify that for Replicated cache all requests go to a single (default) node, because affinity awareness does not matter. Let's state this in a comment for clarity.",alex-plekhanov,False
iotdb,9014,I think it's better to add a method like `hasNullValue` in this class instead of doing the judgement outside.,liuminghui233,True
fineract,2385,Only the batch manager here too.,taskain7,True
ozone,886,"`Execute` checks the return code of the command, so I think this should be enough to verify that the file exists:

```
                    Execute             test -f ${result}
```

Better yet, there is a Robot keyword for the same: [`File Should Exist`](http://robotframework.org/robotframework/3.0.2/libraries/OperatingSystem.html#File%20Should%20Exist)

```suggestion
                    File Should Exist             ${result}
```",sadanand48,True
accumulo,159,"Careful about suppressed exceptions here, especially when using multiple resources in a single try-with-resources, and mixing try-with-resources with a finally block. Any exception thrown in the finally block will suppress try-with-resources, and exception from closing one resource may result in others being suppressed.

How do we want to handle suppressed exceptions? Do we assume they've already been logged earlier, or do we try to handle them here? Wrapping `Exception e` with `IOException` may also make it more difficult for the caller to track the suppressed exceptions attached to `e`, which is now in the `getCause()` of the `IOException`.

Also, statsCount might be stale (or uninitialized) in the finally block if an exception occurs in the try block.
",milleruntime,False
samza,295,need '' marks.,srinipunuru,False
calcite,3093,could you combine with the logic for <CAST>?,olivrlee,False
gobblin,3648,Can we call the exact constructor? invoke longest constructor is not very clean,homatthew,True
druid,13938,Lets make this final and private ?,vtlim,True
flink,13306,"You can create a method: `convertIsNull`, and:
`.put(BuiltInFunctionDefinitions.IS_NULL, OrcFilters::convertIsNull`.
Others can be the same.",meetjunsu,True
beam,9758,"```suggestion
    private PublishResultCoder(
```",jfarr,True
hive,120,"change author to default given we have now:
https://github.com/apache/incubator-kie-benchmarks/tree/apache_migration
and 
https://github.com/apache/incubator-kie-benchmarks/pull/260",b-slim,False
nifi,733,"The retrieved ID is only used if the target is content, perhaps it should be added as an attribute when the target is attributes?
",gresockj,False
samza,196,What is this doing? This method should exist.,shanthoosh,False
incubator-hugegraph,433,skipDegree > 0L,zhoney,True
pinot,6667,"Perhaps we should make a note that before this upgrade, installations should upgrade to at least the release that has https://github.com/apache/incubator-pinot/issues/5359 (Identify the actual release in the PR comments). An installation that has older versions than pr 5359 may break during upgrade.",npawar,True
incubator-hugegraph,456,"prefer define Map<HugeKeys, int>",Linary,True
beam,24957,"Second thoughts, this is too much of investment into boolean. I suggest making an `enum FeedbackRating` with `positive` and `negative`.",nausharipov,True
beam,8941,ditto.,kkucharc,True
hudi,8385,thank for updating this.,Mulavar,True
hive,329,The initial value should be 1.,maheshk114,False
beam,15775,"```suggestion
          # Accept both '\r\n' and '\n' as a default delimiter.
```
",dmitriikuzinepam,False
nifi,5332,This can be removed.,MikeThomsen,False
druid,12569,"```suggestion
Compaction tasks fail when higher priority tasks cause Druid to revoke their locks. By default, realtime tasks like ingestion have a higher priority than compaction tasks. Frequent conflicts between compaction tasks and realtime tasks can cause the Coordinator's automatic compaction to hang.
```
If you keep ""Therefore"" I think it needs a comma, but I think it reads OK without it.",vtlim,True
geode,6232,There is quite a lot of duplicate code in the tests in this class. Would it be possible to move the cluster startup and region creation to a `@Before` method?,pivotal-eshu,True
datasketches-java,470,"## Missing catch of NumberFormatException

Potential uncaught 'java.lang.NumberFormatException'.

[Show more details](https://github.com/apache/datasketches-java/security/code-scanning/636)",AlexanderSaydakov,True
iotdb,884,"Here a figure is missed. Link: https://user-images.githubusercontent.com/13203019/51578237-cd33f300-1ef7-11e9-9aef-2a717c56ab54.jpg
这里遗漏了一张图片",SailVR,True
flink,6107,can be final.,dawidwys,False
shardingsphere,22029,Please rename proxySQLExecutor to result.,FlyingZC,True
avro,200,"Looks like 'type' was renamed to 'result', could you please modify the Javadoc accordingly?",epkanol,False
phoenix,1210,"This is now applies to al logs, so we shouldn't call it checkIgnoreQuery**Audit**",richardantal,False
beam,5709,Could you use `Components.Builder` rather than `Builder` to make it clear what this is? Same applies to other uses.,jkff,True
shardingsphere-elasticjob,1404,The result variable should named as `result`,TeslaCN,True
beam,16325,"Seems like this test is something internal, let's remove it. It might be not so interesting for Playground users",pavel-avilov,True
incubator-kie-drools,1391,"Needs to check for errors before returning the value, and in case of success, return only the value of the decision invoked, not the whole DMNResult. E.g.:

```
return FEELFnResult.ofResult(requiredDecisionResult.getContext().get(decisionName));
```

the code above is just a snippet, but the actual code needs to check for nulls, errors, etc.",akoufoudakis,True
druid,5054,same comments as in GroupByQueryQueryToolChest.,jihoonson,True
druid,7950,thanks :+1:,xueyumusic,True
ratis,188,Sleep for some time before comparing the log.,amaliujia,True
zookeeper,1559,what's the purpose of the changes to this `close` method? I don't quite get the motivation behind this change.,ztzg,False
geode,4001,Simplification! Bravo!,bschuchardt,False
flink-training,31,"note sure style-wise, but before this was collapsed into a single line",alpinegizmo,True
ignite,10145,"```suggestion
            return interceptors.Count == 1 ? interceptors[0] : new CompositeServiceCallInterceptor(interceptors);
```",xtern,True
druid,7792,This query result looks incorrect. I think [this](https://github.com/apache/incubator-druid/blob/master/processing/src/main/java/org/apache/druid/query/topn/NumericTopNMetricSpec.java#L108) also needs to be fixed.,lml2468,False
poi,96,"This is a code smell...

After setting the `parent` on the `childPart`, some method should be called on the `childPart` which would then call the `setWorkbook` method. ",sandeeptiwari32,False
geode,5567,"you also don't need to add data and do rebalance. Maybe add a comment in your test making it clear that you are starting a stale locator first (locator 1 shutdown before locator0, and now you are starting locator 1 first), locator 1 won't start properly until a diskstore on locator 0 is revoked",mivanac,True
druid,8809,Please make `exec` and `ThreadPoolExecutor` javadoc links,zhenxiao,False
accumulo,3905,"I don't think these are needed, since they are already defined above on line 435.",rsingh433,True
james-project,1707,"Input validation should be done at the edge of the system. Please do it when parsing QuotaComponent.

Even better: intruduce a dedicated anum to embed this knowledge/",hungphan227,True
beam,5407,Please move this into a shared utility class.,tweise,True
nifi,3574,This method is repeated. I think it can be refactored.,natural,False
flink,9801,enum will be more readable for commands,xintongsong,False
iotdb,467,"""merge"" -> ""file upgrade""",EJTTianYu,True
geode,7857,I would rename the test case to `testColocationOneNonEvictionRegionReachesLocalMaxMemoryLimit()`,WeijieEST,True
fineract,1258,"@maektwain this seems ""suspicious"".. what is this for, why is it needed, what does it change? FYI Gradle upgrades for this project are now automated, see e.g. #1243, so we need a good reason (and I would suggest a separate PR and JIRA issue, instead of doing that as part of this).",maektwain,False
kafka,1906,"Probably worth including a message like `fail(""Unexpected topic $topic"")` so that when someone updates the test with more topics, they get a useful message.
",benstopford,False
flink,13800,"Personally, I don't like the current design of the new interface. 
 - it couples the `limit` to the select statement which makes it impossible to inject additional where clause. 
 - dialects need to implement/take care 2 interfaces about limit. 
 - many invokers have to pass an invalid limit. 

In my opinion, a better solution would be separate them, by having a new interface for limit:

```java
String getLimitClause(long limit);
```

And concat the limit caluse with the select statement where needs the limit clause. ",fsk119,True
inlong,7253,Why print all data in for-loop?,Yizhou-Yang,False
druid,4491,Please arrange similar methods together,b-slim,True
dolphinscheduler,14833,This config will make confusion.,weixiaonan1,False
nifi,7388,"This does not seem like a good way to catch unsupported operating systems, recommend re-evaluating the approach to avoid attempting to run a command that will fail on an unknown OS.",timeabarna,False
geode,7513,"This should be ""rpoplpush_isTransactional""",BalaKaza,True
incubator-kie-drools,4905,"@baldimir I'm not sure I understood this one; was this discussed in ""more recent"" TCK or RTF meetings?

IIRC, FEEL:date ~never receive a tz and it's always at midnight.

Then I check 1.4 and:

> Where necessary, including the valuedt function (see 10.3.2.3.6), a date value is considered to be equivalent to a date time value in which the time of day is UTC midnight (00:00:00).

So 2021-01-01 plus 1h I would expect it would land into the same day, ie 1am in the morning of that day (2021-01-01, not the 2nd)? 🤔",gitgabrio,True
hbase,3666,nit: space after '//',wchevreuil,True
flink,13193,"```suggestion
t_env.sql_query(""SELECT a FROM source_table"") \
```",hequn8128,False
shiro,824,Call static methods directly as opposed via instance (which is not needed),vasumakwana,False
pulsar,9161,Get the inactive topic policies on a topic,sijia-w,False
flink,22176,"```suggestion
 class LeastUtilizationSlotMatchingStrategyTest {
```",huwh,False
druid,11245,I think you should clarify if this is inclusive (<30 or <=30),techdocsmith,True
ignite,6976,Please add imports for `HashMap` and `TreeMap` or use fully qualified name.,alamar,False
hadoop,2166,"Can get `pc` out of `fsn` lock and pass on from `FsNamesystem` by getting before taking lock, Would save lock retention time, the FsDirectory lock below is just dummy just asserts whether FSN lock is there or not",bshashikant,True
iotdb,18,I would recommend to file the problem as an issue. Committers will be able to add labels to identify it as a bug not.,MyXOF,True
flink,4559,rename `backlog` to `buffersInBacklog`/`accumulatedBuffers`/`backloggedBuffers`?,zhijiangW,False
flink,17994,scan.bounded.stop-offsets,MonsterChenzhuo,False
nifi,3817,Probably best to cleanup spacing here - we don't generally adhere to practices of column-aligning declarations in the NiFi codebase.,sjyang18,False
hive,588,upgrade tool is not the right term. It should be HiveStrictManagedMigration tool.,maheshk114,False
flink,11408,"```suggestion
			// triggers loading needed classes
```",azagrebin,False
druid,4445,"Line 626:628, collection type can be auto inferred. ",dgolitsyn,True
iotdb,101,I think it may be more efficient if you implement a comparator and just call `sort()`.,fanhualta,True
bookkeeper,1045,"This name is really generic.

another, more important piint, I think it would be better to use mockito based suite, you so not need a real cluster to test this methods",reddycharan,False
hudi,4175,"
```suggestion
  @BeforeEach
  public void setUp() throws IOException {
```

OR did you mean to use `@BeforeAll` ?
",rmahindra123,True
beam,10375,"```suggestion
    Otherwise, returns the SDFs restriction_coder.
```",boyuanzz,True
nifi,5460,"I think the important part to add is that it only works on a Compute Engine instance, because if you try ""Use Application Default Credentials"" without running on Compute, it still fails.",pvillard31,False
beam,13028,"```suggestion
		return nil, errors.Errorf(""unexpected windowing strategy: %v"", w)
```",milantracy,True
dolphinscheduler,6322,Add private,yc322,True
phoenix,699,"We're throwing this exception if none of the cases cover this mutation code, right? The exception message is incoorect in that case, since we're not creating mutation code. ",nsgupta1,False
beam,15742,Can we just remove `idGenerator`?,benWize,False
pulsar,10685,Collections.singletonList(provider.authenticate(authenticationDataSource)));,RobertIndie,False
beam,26444,why suppressed?,pranavbhandari24,False
geode,3960,See if there's a way to test this.,mhansonp,True
flink,15599,Same here for the inner classes.,galenwarren,False
beam,10612,"```suggestion
  /** Provides docker image default repo prefix (beam_). */
```",Hannah-Jiang,True
hive,1726,Unused variable,omalley,True
camel,3682,Remove import not used,djoleB,False
druid,7804,if you do not need to get the disabled datasources then why make this query at all?,mcbrewster,True
samza,603,"This comment actually refers to the line above (line 216), but I couldn't add a comment there:
Should the reference to ""job.default.system"" get updated to refer to setDefaultSerde?",prateekm,False
pulsar,3605,@jiazhai it seems you are adding `diff.patch` by mistake?,jiazhai,True
seatunnel,5570,"```suggestion
| db_num         | int    | no                    | 0            |
```",xiaofan2022,True
cassandra,2073,This is just `bytes.length` with some extra indirection?,belliottsmith,True
flink,15884,Why did you introduce this `checkState`? Wouldn't this be caught by the `Executing` state?,rmetzger,False
