pullNumber,commenter,comment,state,html_url,submitted_at,commented_commitID
270,phrocker,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/270#pullrequestreview-45243468,2017-06-20T19:39:27Z,01654c0a94c29a99fd1c6abed44d04fffd17b2f8
279,joshelser,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/279#pullrequestreview-49252399,2017-07-11T16:35:35Z,7b6d7cd70f4427475abb1014e74e5a692ee3c470
283,madrob,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/283#pullrequestreview-52410339,2017-07-26T16:05:03Z,2e66712008d185e23ac5bc1363afe4245ff3b2a8
289,ctubbsii,"A few minor quality issues in my remaining comments, which need to be addressed, but otherwise, this PR looks just about ready to merge.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/289#pullrequestreview-79276559,2017-11-27T19:37:51Z,d15ddb7c11dad85f05c7fdd137d445f7101ab0aa
292,ctubbsii,I learned a lot reviewing this change. I think it's almost done. Just two more tiny suggestions for the test.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/292#pullrequestreview-56781190,2017-08-16T22:28:04Z,0ea001529b51c83233f8bba61b32bc371a23ddb2
305,joshelser,"Looks fine at a high level to me. A couple of things to improve on (In general, it's nice if metrics descriptions have ""good english"" instead of short-hand). A test case would be excellent too (mocking out the data -- don't need to do something end-to-end).",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/305#pullrequestreview-68660942,2017-10-11T16:07:34Z,18edf1abc8dd1bdc06486bda6ac9abe1b402be09
305,joshelser,"(uhh, either I didn't click the button or GH freaked out, sorry if this goes twice..)",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/305#pullrequestreview-68664798,2017-10-11T16:15:37Z,18edf1abc8dd1bdc06486bda6ac9abe1b402be09
326,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/326#pullrequestreview-79299436,2017-11-27T20:23:02Z,fa3e0bfa6c35164d46b45dae0b6d049f6ed5f8e1
331,ctubbsii,"The Jenkins build failed in ShellServerIT. I haven't investigated, but changing this regex might affect some other code.

https://builds.apache.org/job/Accumulo-Pull-Requests/org.apache.accumulo$accumulo-test/879/testReport/junit/org.apache.accumulo.test/ShellServerIT/testSummarySelection/",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/331#pullrequestreview-81629493,2017-12-06T18:57:19Z,5bf4e55748bf390ac06852f5b5c2de23dbbb7a4f
336,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/336#pullrequestreview-82948653,2017-12-12T19:20:33Z,3f2439f6f7084ae5254b8d5b16207f944968786c
337,ctubbsii,"Checkstyle is failing due to unused imports. Please remove unused imports, so Travis build can report on test results. Thanks :)

Also, strongly recommend shorter first line of commit messages. The body of the commit log can be bigger, but the first line should be brief. See https://chris.beams.io/posts/git-commit/ for a good coverage of the topic. :smile:",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/337#pullrequestreview-83389217,2017-12-14T03:28:20Z,c59b80281e1565f80bfe07ef80daa2cb76a74271
339,joshelser,"Looks good enough to me; just a couple of minor change requests. Nice little test.

Have you run this through the replication-related ITs?",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/339#pullrequestreview-85350439,2017-12-22T16:36:00Z,6a7e152f2ae22e4045af0cc8ec61d865fbeeb3af
351,ctubbsii,"The one in Property.java is actually the good one. A lot changed in this code since the original JIRA issue was created. Specifically, the ConfigurationTypeHelper class was created to assist converting String configuration values to specific types, and it was designed to properly fail if it a user-specified value was not able to be parsed. The one in AccumuloConfiguration.java suppresses exceptions silently, and could cause problems.

Instead of changing the existing code which calls Property.createInstanceFromPropertyName, the code which calls AccumuloConfiguration.instantiateClassProperty should be reviewed and modified to call the Property.createInstanceFromPropertyName, Property.createTableInstanceFromPropertyName, or another customized call to ConfigurationTypeHelper directly.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/351#pullrequestreview-85866800,2017-12-28T18:51:15Z,f859f018d4b79892e42e48d5e428645825bc2e20
373,ctubbsii,"Please remove the changes to the generated code from this pull request, so it can be reviewed without evaluating generated code changes.

Changes to thrift classes can be made in the corresponding `*.thrift` file, and we can regenerate the generated thrift files from that by building with the `-Pthrift` flag. Don't worry that this may cause Travis to fail to build. We can always check that manually.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/373#pullrequestreview-93608092,2018-02-02T12:54:24Z,a7775a8106cab3ded47b0e3b8a03ec37f7e25c41
403,ctubbsii,"+1 for the additional metrics, but would prefer grafana dashboard configuration not be included, since we don't need to ship configuration for external components outside the scope of Accumulo.

Based on the conversation in apache/accumulo-website#62, I think it would be best to link to Uno's grafana configuration in a dashboard, as an example of how to present Accumulo's metrics.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/403#pullrequestreview-104730111,2018-03-16T22:02:26Z,3fb6ab3e7252d64e66abe9872a02e00a439d1dcf
410,ctubbsii,"Except for isEmpty() use, looks good to me.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/410#pullrequestreview-107857385,2018-03-28T21:28:12Z,87ecd53b0ce675470a24bc694f60f8247307ed83
424,milleruntime,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/424#pullrequestreview-111733487,2018-04-12T18:08:05Z,989b448f145152d16476f5a7349077fc18d41b09
444,ctubbsii,GarbageCollectWriteAheadLogsTest is failing,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/444#pullrequestreview-115724896,2018-04-26T19:53:58Z,a8dcb20a575c76336663ae46a0e60bebed4b4e16
446,ctubbsii,"Implementation looks good, but I would suggest a different letter (or no short opt at all) for the negate option, because `-v` typically means ""verbose"".",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/446#pullrequestreview-115726499,2018-04-26T19:59:43Z,3ea656efd8b81f61bade02eb1e7a1646c7cc1a6b
505,ctubbsii,"Oops. MonitorUtilTest should not be in `src/main/java`, but rather in `src/test/java`.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/505#pullrequestreview-124658263,2018-05-31T03:04:10Z,e4f9961e15d92a23280930f86db9c3aa22ad61db
528,ctubbsii,"This PR is hard to review, given the conflicts with the master branch. Can you rebase it?",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/528#pullrequestreview-128174317,2018-06-12T23:05:30Z,b5023c32c2c3d29d7cda3dbacce7bd62be1f788d
546,ctubbsii,Reminder: the deprecated configuration property description should reflect which version it was deprecated since.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/546#pullrequestreview-134005465,2018-07-03T13:49:34Z,8e29faad67459925ae873b7133134e3e69e12a18
615,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/615#pullrequestreview-149821446,2018-08-27T18:25:20Z,ed021997c8b1226c048c6cdfad7be6a5b135d2c7
615,ctubbsii,"Might want to do another pass to see if there's any other occurrences of ""findbugs"" which should be converted to ""spotbugs"". I know ""findbugs.skip"" for example has been changed to ""spotbugs.skip"". Could also rename the exclude filter files, and corresponding profile stuff in the POM, for consistency, although the file and profile names don't actually matter.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/615#pullrequestreview-149893680,2018-08-27T21:33:45Z,3151de8d3e75cd9929fe10d424d2bc3d56c7aff6
620,milleruntime,Thanks for the contribution @cjmctague.  Here is some feedback for a few minor corrections to your changes.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/620#pullrequestreview-150272014,2018-08-28T19:18:25Z,192b873292f967fb532de4f9899364f1db6c18e7
623,ctubbsii,"Some tests are failing:

```
org.apache.accumulo.test.RewriteTabletDirectoriesIT.test
org.apache.accumulo.test.VolumeIT.testNonConfiguredVolumes
org.apache.accumulo.test.VolumeIT.testRemoveVolumes
org.apache.accumulo.test.VolumeIT.testCleanReplaceVolumes
org.apache.accumulo.test.VolumeIT.testDirtyReplaceVolumes
org.apache.accumulo.test.VolumeIT.testAddVolumes
org.apache.accumulo.test.start.KeywordStartIT.testExpectedClasses
```",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/623#pullrequestreview-151076137,2018-08-30T16:21:48Z,bbbc28749d36f7f55a2321100097a559ebb8d345
641,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/641#pullrequestreview-154004738,2018-09-10T23:39:18Z,fda15b322860063c01bd75f88e71051e44275832
653,ctubbsii,"I'm fine with moving away from DistributedCache, if there's no suitably maintained replacement API for the deprecated version, but serializing to the job configuration is not an acceptable replacement. This feature was initially provided as a way of avoiding serializing credentials into the highly visible and insecure job configuration, which is shared with all parts of the infrastructure.

Instead of serializing, this method should be changed, so that instead of using the distributed cache, we just serialize the path of the properties file into the job configuration, and the mappers/reducers can read the file directly from HDFS, rather than from the distributed cache.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/653#pullrequestreview-157494447,2018-09-20T22:48:17Z,707ab197cb35e1c07e8a7d5f86804fbb41343e91
664,ctubbsii,"Mostly LGTM, but need to keep deprecated API.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/664#pullrequestreview-159201201,2018-09-26T21:13:39Z,426a225679815a658a1b89ac11b19f942f2f45e6
667,ctubbsii,"Everything looks good to me, with one suggestion: remove the `outputFileNameMapping` line entirely, since it is just expressing the default value now anyway.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/667#pullrequestreview-160870442,2018-10-02T18:50:07Z,7399d4ad25830c9c62e29c204d49bd53671f6510
685,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/685#pullrequestreview-163024802,2018-10-09T18:07:39Z,85e9fa497c8e6c5ed7676d113573ee06f5625cf7
728,ctubbsii,"If we're going to revert this, it's probably going to get inadvertently bumped again later, so it's best to include an xml comment above the version indicating why we're staying with the current version vs. bumping to 2.2",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/728#pullrequestreview-169017462,2018-10-26T22:16:35Z,faf5adbcc29adaa8a0c4d453b2a6ee652d6062d3
792,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/792#pullrequestreview-180478754,2018-11-30T23:09:35Z,bb7ff5e1c2e98d5632fe7b987342a031a3a63195
796,mikewalch,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/796#pullrequestreview-181497326,2018-12-04T21:58:43Z,c19b2e74cad9ab985f2d33f561c79a4b4a234ce7
862,ctubbsii,"This isn't the right fix for this. I'm okay with removing the use of the distributed cache, if we use serialize the location of the token file instead and use that to read the file directly in the job. However, we cannot simply read the file and store the credentials in the job configuration. That defeats the whole point of having the feature to use a token file. The token file was a feature added specifically to avoid having credentials exposed in the job tracker UI and other exposed surfaces where job configuration can be seen by unauthenticated users.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/862#pullrequestreview-188518132,2018-12-31T17:10:38Z,77134a8aec98fd26b56bb582f91d320d0152b421
868,joshelser,"A couple of minor requests for changes, but this looks really close, Mike. Thanks for the ping for another review.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/868#pullrequestreview-189469230,2019-01-04T18:13:16Z,01f89e275db6b4fdb13171c9012e5ec4e080ac68
906,milleruntime,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/906#pullrequestreview-193744637,2019-01-17T17:20:40Z,de77e660f18cc994fc3785b63334da8f1f2fee90
943,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/943#pullrequestreview-201390654,2019-02-08T00:39:17Z,70c96be35c573ea204e0018a90b8f83566d97bbc
1018,keith-turner,Was looking over this again before merging and changed my review.  I am uncertain about merging this now because of the comment I made about changing behavior of handling runtime exceptions.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1018#pullrequestreview-221890991,2019-04-02T20:41:14Z,dca887121efa883951e4a68ccdc1d514b32df932
1022,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1022#pullrequestreview-212530185,2019-03-09T00:14:20Z,d6eee93b2c5fb8a75d8bdf8c2dcb614f30947cd3
1040,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1040#pullrequestreview-215284914,2019-03-15T23:37:44Z,542cb20d362a0c9bfa7730417cfd21d8ac37757a
1042,ctubbsii,"Minor change requested. Otherwise, LGTM.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1042#pullrequestreview-215767577,2019-03-18T18:12:05Z,7e8f3ea4bba54323dda15e7553dbe8b6d01a83ac
1068,busbey,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1068#pullrequestreview-221661391,2019-04-02T13:36:52Z,f27e42307df69b3f3ad8e0c70f412555b3251714
1072,ctubbsii,9.4 is incompatible with Java 7. We can't upgrade to this. Is there an earlier version which address the bug?,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1072#pullrequestreview-221961724,2019-04-03T00:31:12Z,819d0c40e3b3adc7a813553db95d29aced1fd2ba
1075,ctubbsii,We should set the default server type in a single location.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1075#pullrequestreview-222354420,2019-04-03T17:42:38Z,08274b858e9e149756738b433ae6bdda0a29a37d
1082,ivakegg,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1082#pullrequestreview-224644341,2019-04-09T20:46:29Z,b94b08d2621d67bd495e194b95018010c91ffe73
1088,ctubbsii,"This Admin utility isn't really on any path where performance matters (it operates at human-interactive time scales), but the change is a slight improvement. I'm surprised these weren't already in try-with-resources blocks, though. With the use of the buffered writer, they should definitely be in a try-with-resources block to ensure the buffer is written to disk on error.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1088#pullrequestreview-226671429,2019-04-15T14:19:33Z,f8b8763626d854e94b9f20f3a5315cc5cd71ca65
1096,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1096#pullrequestreview-227423067,2019-04-16T20:20:36Z,aa2d33052886a956b0236b721d620e54ddec2fb2
1112,ctubbsii,"Much of my comments on the clientImpl ConfiguratorBase also apply to the hadoopImpl one as well.

Were you able to investigate the other uses of the distributed cache in these two files?

* `core/src/main/java/org/apache/accumulo/core/client/mapreduce/lib/partition/RangePartitioner.java`
* `hadoop-mapreduce/src/main/java/org/apache/accumulo/hadoop/mapreduce/partition/RangePartitioner.java`",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1112#pullrequestreview-241439002,2019-05-23T21:10:21Z,bde9654b64528a28c329f816ae53b0cac20e17c3
1135,ctubbsii,https://chris.beams.io/posts/git-commit/,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1135#pullrequestreview-231976959,2019-04-30T02:29:27Z,8565bcb7f50a5e4f50ccd41a9b12cd640924fc24
1144,ctubbsii,"This fixes what I was talking about in #1110 
However, for ease of updating later, please keep the list sorted.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1144#pullrequestreview-232449974,2019-04-30T23:18:26Z,6cdbf217e0658806b6a4786dcee4ddad15fcdf2d
1144,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1144#pullrequestreview-232450261,2019-04-30T23:19:53Z,6cdbf217e0658806b6a4786dcee4ddad15fcdf2d
1150,ivakegg,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1150#pullrequestreview-248193596,2019-06-11T14:10:54Z,2b7cf1cc32ecf9497b59c352e093a6e35838cf29
1165,keith-turner,Wasn't only the `testWriteSpeed()` method moved to accumulo-test?  So why remove all test?,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1165#pullrequestreview-240243475,2019-05-21T19:06:28Z,64e096db8865744698e03bca243075ba80d9a2cb
1173,ctubbsii,"Actually, on second pass, it looks like the xsd at https://maven.apache.org/maven-v4_0_0.xsd specifies: `targetNamespace=""http://maven.apache.org/POM/4.0.0""`, so we shouldn't change that either.

The only one that is safe to change is the schemaLocation URL to the xsd. The others are fixed, well-known names that shouldn't be changed.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1173#pullrequestreview-241817860,2019-05-24T15:48:57Z,2d2a25fa559dd2e15fceee96e14f93ab248e77bf
1178,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1178#pullrequestreview-245762119,2019-06-05T00:21:27Z,d1420bb6d748804ebfe14bc7cfda0f3a15977893
1261,ctubbsii,"This breaks some tests, but otherwise looks good. I just have the one comment about the wording of the exception message.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1261#pullrequestreview-260257719,2019-07-10T17:52:16Z,82300c59dc33956fcda84a6ad4b5bdf3e0a6de82
1302,ctubbsii,"Comments based on failed Travis build.

`TabletMetadataTest` is failing due to an attempt to parse an empty String as a number. Spotbugs is also failing.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1302#pullrequestreview-269302780,2019-07-31T21:58:40Z,b6f667c19583e2723022615d22f470a3a83ba244
1339,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1339#pullrequestreview-283889748,2019-09-04T21:17:24Z,fbc82c1f4b0d99aa3c226986ab691c0b209dc385
1381,ctubbsii,"Looks good. Only gave the test code a cursory look; I'm happy if it passes consistently. I made a few other suggestions for simple refactorings, mostly for consistency with the other metrics code, which I think are worth doing (since metrics are somewhat hard to grok, so having consistency with our various impls helps), but otherwise, I think this is fine.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1381#pullrequestreview-297152958,2019-10-03T23:56:50Z,a1850332924b7f57502ed398ed6833c2ef3b6b02
1409,ctubbsii,This looks like a good change. A few minor suggestions.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1409#pullrequestreview-311164093,2019-11-04T15:52:45Z,a881f3dc597fdde3c6378acfb82f4612cb2d9cba
1412,ctubbsii,"There is only one problem I found with this. Otherwise, it looks good and is a nice change.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1412#pullrequestreview-313704033,2019-11-07T23:28:22Z,d5cb219c1c02f9485f80733af559787264bf470e
1432,ctubbsii,"Thanks for this PR. Were you able to test this manually, @mandarinamdar ?

For the most part, this looks okay, but it needs an additional change to fix the build failure, and a few other changes to conform to our `pom.xml` conventions.

To fix the failure, you will likely need to add an entry to the `maven-dependency-plugin`'s configuration for `ignoredUnusedDeclaredDependencies` in the root pom, though fixing the scope on the dependency may fix the build on its own.

Once the build is fixed, I can manually test and merge this.

Some additional suggestions:

In future, please add a bit more detail than ""fixes issue #"" in the subject line of your log messages and pull request titles. It is not always convenient to go back and find the referenced issue, and it shouldn't be necessary in order to understand what the change is doing. The log message itself should contain that information.

A good log message pattern that I've found is something like:

```
Fix #XXXX make specific change

* More detail here
* Additional detail here
```

When merged via GitHub, GitHub will also inject the issue number for the pull request itself as a parenthetical suffix, so the subject line becomes `Fix #XXXX make specific change (#YYYY)`

In this case, one possible message (after merging) might look something like:

```
Fix #1429 add missing runtime monitor dependency (#1432)

* Add runtime dependency (jaxb-core) to monitor
* Update binary assembly to include the dependency
```

or, it you could put the reference to the issue in the body:

```
Add missing runtime monitor dependency (#1432)

* Add runtime dependency (jaxb-core) to monitor
* Update binary assembly to include the dependency

This fixes #1429 - a server-side error in the monitor that prevented the REST XML from working
```

One resource for writing good log messages can be found here: https://chris.beams.io/posts/git-commit/ ; one of his rules is to keep the subject line short. Using `Fix #xxxx` instead of `Fixes #xxxx` helps that by cutting 2 characters. He also explains what kind of grammar to us, as in the subject line should be the end of the sentence that begins, ""If applied, this commit will ...""",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1432#pullrequestreview-317422319,2019-11-15T06:11:08Z,c361ab8997cef67140586eeba9842a9e5e3cf684
1487,ivakegg,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1487#pullrequestreview-384978646,2020-03-31T18:14:10Z,789356daf406dff5b4d82284c1c0f47393fb8f8e
1487,ivakegg,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1487#pullrequestreview-386727380,2020-04-02T19:24:49Z,803a7d27cac2ed2a31d31c3dbe798e02e6e07c8e
1487,ivakegg,We need some more inline comments to describe what is going on here please.  Thanks.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1487#pullrequestreview-435794343,2020-06-23T13:42:02Z,3958e4f3d1722c5d6c88be1796f8dbd5fcda23e0
1489,ctubbsii,"This change is a good idea. However, the code should be changed so the conversion to millis only happens on the difference between the start and stop times, and not on the start/stop times themselves.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1489#pullrequestreview-350917738,2020-01-30T15:45:22Z,45584952e066da7f9bbd73c88c650474b2142392
1541,ctubbsii,Minor note.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1541#pullrequestreview-368813826,2020-03-04T14:20:58Z,6db154a88535ef0a75db052c9f218d1aa33202b5
1552,ctubbsii,"The restructuring definitely makes this easier to read, and I think the more strict limit to the single server helps strengthen the test.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1552#pullrequestreview-371373173,2020-03-09T17:15:20Z,188c60ee4cd0478992b39a7ccf4b15bd3152cf16
1556,ctubbsii,Looks okay. My comments pertain mostly to the log messages.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/1556#pullrequestreview-372372293,2020-03-10T22:52:50Z,f21c9102bfb5ead79107e6505e0649fba204f7d3
